Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.467263499973,1,No,16.9,-1,Hit,0.700422499795,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_1,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_2,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,1,0,1,0,0.26611680002,2,Yes,16.9,-1,Correct Rejection,0.500605900073,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_3,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_4,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,2,0,2,0,0.301273600198,2,Yes,16.9,-1,Correct Rejection,0.467201300198,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_5,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_6,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,3,0,3,0,0.233913399978,2,Yes,16.9,-1,Correct Rejection,0.435552899959,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_7,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_8,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,4,0,4,0,0.367052600021,1,No,16.9,-1,Hit,0.567222400103,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_9,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_10,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,5,0,5,0,-1,3,No,16.9,-1,Correct Rejection,0.532401599921,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_11,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_12,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,6,0,6,0,0.234406899894,1,No,16.9,-1,Hit,0.401603100123,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_13,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_14,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,7,0,7,0,-1,1,No,16.9,-1,Hit,0.400687800022,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_15,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_16,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,8,0,8,0,-1,1,No,16.9,-1,Hit,0.467443200061,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_17,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_18,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,9,0,9,0,0.233320399886,2,Yes,16.9,-1,Correct Rejection,0.500737400027,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_19,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_20,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,10,0,10,0,0.30029699998,2,Yes,16.9,-1,Correct Rejection,0.500689500012,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_21,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_22,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,11,0,11,0,0.233274500119,2,Yes,16.9,-1,Correct Rejection,0.467168599833,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_23,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_24,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,12,0,12,0,0.333680700045,1,No,16.9,-1,Hit,0.567791299894,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_25,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_26,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,13,0,13,0,0.230673999991,1,No,16.9,-1,Hit,0.43336640019,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_27,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_28,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,14,0,14,0,0.433387199882,2,Yes,16.9,-1,Correct Rejection,0.567417499842,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_29,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_30,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,15,0,15,0,0.433344200021,1,No,16.9,-1,Hit,0.467295600101,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_31,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_32,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,16,0,16,0,0.366571699968,1,No,16.9,-1,Hit,0.433822300052,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_33,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_34,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,17,0,17,0,0.434165500104,1,No,16.9,-1,Hit,0.400792399887,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_35,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_36,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,18,0,18,0,0.399967900012,1,No,16.9,-1,Hit,0.400518799899,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_37,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_38,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,19,0,19,0,0.366840099916,1,No,16.9,-1,Hit,0.399666399928,True,False,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_39,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_40,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
2IFCnew,20,0,20,0,0.3686683001,2,Yes,16.9,-1,Correct Rejection,0.568103800062,False,True,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_41,stimulusDIAN07_2IFCnew_2019_Jun_13_1720_42,False,2019_Jun_13_1720,2IFCnew,2,DIAN07,
