Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,5.8,-1,correct answer,0.5003908,True,False,stimulusDIAN07_2IFC_2019_Jun_14_1637_1,stimulusDIAN07_2IFC_2019_Jun_14_1637_2,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,1,0,1,0,9.8,-1,correct answer,0.4007454,False,True,stimulusDIAN07_2IFC_2019_Jun_14_1637_3,stimulusDIAN07_2IFC_2019_Jun_14_1637_4,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,2,0,2,0,16.9,-1,correct answer,0.433722900001,False,True,stimulusDIAN07_2IFC_2019_Jun_14_1637_5,stimulusDIAN07_2IFC_2019_Jun_14_1637_6,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,3,0,3,0,12.5,-1,correct answer,0.3007239,True,False,stimulusDIAN07_2IFC_2019_Jun_14_1637_7,stimulusDIAN07_2IFC_2019_Jun_14_1637_8,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,4,0,4,0,16.9,-1,correct answer,0.333433599999,False,True,stimulusDIAN07_2IFC_2019_Jun_14_1637_9,stimulusDIAN07_2IFC_2019_Jun_14_1637_10,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,5,0,5,0,9.8,-1,correct answer,0.4341709,False,True,stimulusDIAN07_2IFC_2019_Jun_14_1637_11,stimulusDIAN07_2IFC_2019_Jun_14_1637_12,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,6,0,6,0,13.9,-1,correct answer,0.200543999999,True,False,stimulusDIAN07_2IFC_2019_Jun_14_1637_13,stimulusDIAN07_2IFC_2019_Jun_14_1637_14,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,7,0,7,0,15.3,-1,correct answer,0.267126500001,True,False,stimulusDIAN07_2IFC_2019_Jun_14_1637_15,stimulusDIAN07_2IFC_2019_Jun_14_1637_16,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,8,0,8,0,12.5,-1,correct answer,0.200503400001,True,False,stimulusDIAN07_2IFC_2019_Jun_14_1637_17,stimulusDIAN07_2IFC_2019_Jun_14_1637_18,True,2019_Jun_14_1637,2IFC,3,DIAN07,
2IFC,9,0,9,0,9.8,-1,correct answer,0.334339699999,True,False,stimulusDIAN07_2IFC_2019_Jun_14_1637_19,stimulusDIAN07_2IFC_2019_Jun_14_1637_20,True,2019_Jun_14_1637,2IFC,3,DIAN07,
