Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,7.6,-1,correct answer,0.468152960297,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_1,stimulusJOSU26_2IFC_2019_Jun_12_0915_2,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,1,0,1,0,5.8,-1,correct answer,0.733335851226,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_3,stimulusJOSU26_2IFC_2019_Jun_12_0915_4,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,2,0,2,0,1.5,-1,wrong answer,0.468733475544,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_5,stimulusJOSU26_2IFC_2019_Jun_12_0915_6,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,3,0,3,0,3,-1,no answer,-1,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_7,stimulusJOSU26_2IFC_2019_Jun_12_0915_8,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,4,0,4,0,6.7,-1,correct answer,0.234544505365,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_9,stimulusJOSU26_2IFC_2019_Jun_12_0915_10,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,5,0,5,0,5.8,-1,correct answer,0.532491189893,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_11,stimulusJOSU26_2IFC_2019_Jun_12_0915_12,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,6,0,6,0,5.8,-1,correct answer,0.73579749791,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_13,stimulusJOSU26_2IFC_2019_Jun_12_0915_14,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,7,0,7,0,5,-1,correct answer,0.634819490369,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_15,stimulusJOSU26_2IFC_2019_Jun_12_0915_16,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,8,0,8,0,5.8,-1,correct answer,0.734549021348,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_17,stimulusJOSU26_2IFC_2019_Jun_12_0915_18,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,9,0,9,0,1.5,-1,wrong answer,0.668623202015,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_19,stimulusJOSU26_2IFC_2019_Jun_12_0915_20,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,10,0,10,0,8.7,-1,correct answer,0.333286256995,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_21,stimulusJOSU26_2IFC_2019_Jun_12_0915_22,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,11,0,11,0,5.8,-1,correct answer,0.700014943723,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_23,stimulusJOSU26_2IFC_2019_Jun_12_0915_24,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,12,0,12,0,4,-1,correct answer,0.699540350586,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_25,stimulusJOSU26_2IFC_2019_Jun_12_0915_26,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,13,0,13,0,5,-1,correct answer,0.501229591668,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_27,stimulusJOSU26_2IFC_2019_Jun_12_0915_28,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,14,0,14,0,7.6,-1,correct answer,0.533992564306,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_29,stimulusJOSU26_2IFC_2019_Jun_12_0915_30,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,15,0,15,0,8.7,-1,correct answer,0.49989202572,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_31,stimulusJOSU26_2IFC_2019_Jun_12_0915_32,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,16,0,16,0,7.6,-1,correct answer,0.270619779825,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_33,stimulusJOSU26_2IFC_2019_Jun_12_0915_34,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,17,0,17,0,5,-1,correct answer,0.331440843176,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_35,stimulusJOSU26_2IFC_2019_Jun_12_0915_36,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,18,0,18,0,5,-1,correct answer,0.703663074877,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_37,stimulusJOSU26_2IFC_2019_Jun_12_0915_38,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,19,0,19,0,5.8,-1,correct answer,0.700090074446,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_39,stimulusJOSU26_2IFC_2019_Jun_12_0915_40,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,20,0,20,0,4,-1,correct answer,0.668901143596,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_41,stimulusJOSU26_2IFC_2019_Jun_12_0915_42,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,21,0,21,0,5,-1,correct answer,0.533538908232,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_43,stimulusJOSU26_2IFC_2019_Jun_12_0915_44,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,22,0,22,0,7.6,-1,correct answer,0.535309191793,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_45,stimulusJOSU26_2IFC_2019_Jun_12_0915_46,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,23,0,23,0,5.8,-1,correct answer,0.333194705192,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_47,stimulusJOSU26_2IFC_2019_Jun_12_0915_48,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,24,0,24,0,6.7,-1,correct answer,0.502654193435,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_49,stimulusJOSU26_2IFC_2019_Jun_12_0915_50,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,25,0,25,0,8.7,-1,correct answer,0.500720101409,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_51,stimulusJOSU26_2IFC_2019_Jun_12_0915_52,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,26,0,26,0,5.8,-1,correct answer,0.272948819678,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_53,stimulusJOSU26_2IFC_2019_Jun_12_0915_54,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,27,0,27,0,7.6,-1,correct answer,0.463527725078,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_55,stimulusJOSU26_2IFC_2019_Jun_12_0915_56,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,28,0,28,0,6.7,-1,correct answer,0.132907157298,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_57,stimulusJOSU26_2IFC_2019_Jun_12_0915_58,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,29,0,29,0,3,-1,correct answer,0.433241589461,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_59,stimulusJOSU26_2IFC_2019_Jun_12_0915_60,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,30,0,30,0,8.7,-1,correct answer,0.503344324883,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_61,stimulusJOSU26_2IFC_2019_Jun_12_0915_62,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,31,0,31,0,7.6,-1,correct answer,0.534167047124,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_63,stimulusJOSU26_2IFC_2019_Jun_12_0915_64,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,32,0,32,0,3,-1,wrong answer,0.70013482403,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_65,stimulusJOSU26_2IFC_2019_Jun_12_0915_66,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,33,0,33,0,5.8,-1,correct answer,0.470941403415,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_67,stimulusJOSU26_2IFC_2019_Jun_12_0915_68,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,34,0,34,0,7.6,-1,correct answer,0.700889411382,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_69,stimulusJOSU26_2IFC_2019_Jun_12_0915_70,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,35,0,35,0,3,-1,correct answer,0.602791809011,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_71,stimulusJOSU26_2IFC_2019_Jun_12_0915_72,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,36,0,36,0,4,-1,correct answer,0.43357043853,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_73,stimulusJOSU26_2IFC_2019_Jun_12_0915_74,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,37,0,37,0,1.5,-1,correct answer,0.468474009074,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_75,stimulusJOSU26_2IFC_2019_Jun_12_0915_76,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,38,0,38,0,7.6,-1,correct answer,0.567017877009,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_77,stimulusJOSU26_2IFC_2019_Jun_12_0915_78,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,39,0,39,0,5,-1,correct answer,0.570772750303,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_79,stimulusJOSU26_2IFC_2019_Jun_12_0915_80,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,40,0,40,0,4,-1,correct answer,0.49985261308,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_81,stimulusJOSU26_2IFC_2019_Jun_12_0915_82,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,41,0,41,0,1.5,-1,correct answer,0.468096714932,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_83,stimulusJOSU26_2IFC_2019_Jun_12_0915_84,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,42,0,42,0,4,-1,correct answer,0.435773850419,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_85,stimulusJOSU26_2IFC_2019_Jun_12_0915_86,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,43,0,43,0,6.7,-1,correct answer,0.567430478055,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_87,stimulusJOSU26_2IFC_2019_Jun_12_0915_88,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,44,0,44,0,8.7,-1,correct answer,0.501080562361,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_89,stimulusJOSU26_2IFC_2019_Jun_12_0915_90,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,45,0,45,0,1.5,-1,wrong answer,0.572465029079,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_91,stimulusJOSU26_2IFC_2019_Jun_12_0915_92,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,46,0,46,0,5,-1,correct answer,0.534306633752,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_93,stimulusJOSU26_2IFC_2019_Jun_12_0915_94,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,47,0,47,0,1.5,-1,no answer,-1,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_95,stimulusJOSU26_2IFC_2019_Jun_12_0915_96,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,48,0,48,0,3,-1,wrong answer,0.668381799944,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_97,stimulusJOSU26_2IFC_2019_Jun_12_0915_98,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,49,0,49,0,8.7,-1,correct answer,0.26685053762,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_99,stimulusJOSU26_2IFC_2019_Jun_12_0915_100,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,50,0,50,0,7.6,-1,wrong answer,0.469474925194,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_101,stimulusJOSU26_2IFC_2019_Jun_12_0915_102,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,51,0,51,0,5,-1,correct answer,0.401594076306,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_103,stimulusJOSU26_2IFC_2019_Jun_12_0915_104,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,52,0,52,0,3,-1,wrong answer,0.833546544425,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_105,stimulusJOSU26_2IFC_2019_Jun_12_0915_106,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,53,0,53,0,4,-1,correct answer,0.668900732417,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_107,stimulusJOSU26_2IFC_2019_Jun_12_0915_108,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,54,0,54,0,5.8,-1,correct answer,0.704693139531,True,False,stimulusJOSU26_2IFC_2019_Jun_12_0915_109,stimulusJOSU26_2IFC_2019_Jun_12_0915_110,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,55,0,55,0,6.7,-1,correct answer,0.53519259626,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_111,stimulusJOSU26_2IFC_2019_Jun_12_0915_112,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,56,0,56,0,5,-1,correct answer,0.633421573788,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_113,stimulusJOSU26_2IFC_2019_Jun_12_0915_114,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,57,0,57,0,8.7,-1,correct answer,0.569598992821,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_115,stimulusJOSU26_2IFC_2019_Jun_12_0915_116,True,2019_Jun_12_0915,2IFC,2,JOSU26,
2IFC,58,0,58,0,3,-1,wrong answer,0.630529672839,False,True,stimulusJOSU26_2IFC_2019_Jun_12_0915_117,stimulusJOSU26_2IFC_2019_Jun_12_0915_118,True,2019_Jun_12_0915,2IFC,2,JOSU26,
