Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.565301374998,8,No,3,-1,Correct Rejection,0.400664594956,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_1,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_2,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,1,0,1,0,0.466553464532,6,No,1.5,-1,Miss,0.832973419689,True,False,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_3,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_4,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,2,0,2,0,0.496900361497,1,No,8.7,-1,Hit,0.640629567206,True,False,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_5,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_6,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,3,0,3,0,0.600670917891,5,Yes,7.6,-1,False Alarm,0.801075882278,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_7,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_8,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,4,0,4,0,0.700014123227,2,Yes,1.5,-1,Correct Rejection,0.533826292027,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_9,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_10,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,5,0,5,0,-1,3,Yes,5.8,-1,Correct Rejection,0.701821766328,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_11,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_12,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,6,0,6,0,-1,2,Yes,5,-1,False Alarm,0.634041912388,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_13,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_14,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,7,0,7,0,0.468321695458,8,No,6.7,-1,Correct Rejection,0.809281097259,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_15,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_16,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,8,0,8,0,0.4340963508,2,Yes,6.7,-1,Correct Rejection,0.601517057046,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_17,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_18,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,9,0,9,0,-1,0,Yes,7.6,-1,No Answer,-1,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_19,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_20,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,10,0,10,0,0.434767186642,6,No,6.7,-1,Miss,0.634743128438,True,False,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_21,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_22,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,11,0,11,0,-1,2,No,1.5,-1,False Alarm,0.76718349196,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_23,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_24,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,12,0,12,0,-1,2,No,5.8,-1,False Alarm,0.801610005554,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_25,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_26,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,13,0,13,0,0.600657780189,1,No,5,-1,Hit,0.801250365097,True,False,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_27,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_28,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,14,0,14,0,-1,3,No,5.8,-1,Correct Rejection,0.566468153149,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_29,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_30,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,15,0,15,0,-1,3,No,7.6,-1,Correct Rejection,0.569686850067,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_31,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_32,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
2IFCnew,16,0,16,0,-1,2,No,3,-1,False Alarm,0.735049479641,False,True,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_33,stimulusJOSU26_2IFCnew_2019_Jun_12_0837_34,True,2019_Jun_12_0837,2IFCnew,2,JOSU26,
