Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,7.6,-1,False Alarm,0.799586413894,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_1,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,1,0,1,0,7.6,-1,Correct Rejection,0.667859171983,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_2,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,2,0,2,0,5,-1,Correct Rejection,0.600357669871,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_3,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,3,0,3,0,7.6,-1,Hit,0.532707958948,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_4,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,4,0,4,0,1.5,-1,Miss,0.668863372877,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_5,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,5,0,5,0,5,-1,Hit,0.467091693543,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_6,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,6,0,6,0,6.7,-1,Correct Rejection,0.867856873199,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_7,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,7,0,7,0,5,-1,Hit,0.504758663476,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_8,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,8,0,8,0,5,-1,Hit,0.500834644306,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_9,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,9,0,9,0,6.7,-1,Correct Rejection,0.569326799363,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_10,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,10,0,10,0,5.8,-1,Hit,0.667714248411,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_11,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
Yes-No Task,11,0,11,0,6.7,-1,No Answer,-1,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_12_0946_12,-1,True,2019_Jun_12_0946,Yes-No Task,2,JOSU26,
