Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,8.7,-1,correct answer,0.467002194375,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_1,stimulusJOSU26_2IFC_2019_Jun_13_0846_2,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,1,0,1,0,8.7,-1,correct answer,0.468575004023,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_3,stimulusJOSU26_2IFC_2019_Jun_13_0846_4,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,2,0,2,0,8.7,-1,correct answer,0.432615503203,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_5,stimulusJOSU26_2IFC_2019_Jun_13_0846_6,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,3,0,3,0,8.7,-1,correct answer,0.469981541857,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_7,stimulusJOSU26_2IFC_2019_Jun_13_0846_8,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,4,0,4,0,8.7,-1,correct answer,0.399721155874,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_9,stimulusJOSU26_2IFC_2019_Jun_13_0846_10,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,5,0,5,0,8.7,-1,correct answer,0.466681145132,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_11,stimulusJOSU26_2IFC_2019_Jun_13_0846_12,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,6,0,6,0,8.7,-1,correct answer,0.267261085566,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_13,stimulusJOSU26_2IFC_2019_Jun_13_0846_14,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,7,0,7,0,8.7,-1,correct answer,0.43431722559,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_15,stimulusJOSU26_2IFC_2019_Jun_13_0846_16,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,8,0,8,0,8.7,-1,correct answer,0.467230048031,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_17,stimulusJOSU26_2IFC_2019_Jun_13_0846_18,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,9,0,9,0,8.7,-1,correct answer,0.367047272157,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_19,stimulusJOSU26_2IFC_2019_Jun_13_0846_20,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,10,0,10,0,8.7,-1,correct answer,0.296436278149,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_21,stimulusJOSU26_2IFC_2019_Jun_13_0846_22,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,11,0,11,0,8.7,-1,correct answer,0.434205146041,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_23,stimulusJOSU26_2IFC_2019_Jun_13_0846_24,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,12,0,12,0,8.7,-1,correct answer,0.533964236267,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_25,stimulusJOSU26_2IFC_2019_Jun_13_0846_26,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,13,0,13,0,8.7,-1,correct answer,0.437393462751,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_27,stimulusJOSU26_2IFC_2019_Jun_13_0846_28,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,14,0,14,0,8.7,-1,correct answer,0.299826584291,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_29,stimulusJOSU26_2IFC_2019_Jun_13_0846_30,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,15,0,15,0,8.7,-1,correct answer,0.298300987575,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_31,stimulusJOSU26_2IFC_2019_Jun_13_0846_32,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,16,0,16,0,8.7,-1,correct answer,0.443504882511,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_33,stimulusJOSU26_2IFC_2019_Jun_13_0846_34,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,17,0,17,0,8.7,-1,correct answer,0.16773847118,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_35,stimulusJOSU26_2IFC_2019_Jun_13_0846_36,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,18,0,18,0,8.7,-1,correct answer,0.267844474409,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_37,stimulusJOSU26_2IFC_2019_Jun_13_0846_38,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,19,0,19,0,8.7,-1,correct answer,0.637417438906,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_39,stimulusJOSU26_2IFC_2019_Jun_13_0846_40,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,20,0,20,0,8.7,-1,correct answer,0.301146496553,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_41,stimulusJOSU26_2IFC_2019_Jun_13_0846_42,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,21,0,21,0,8.7,-1,correct answer,0.434881729074,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_43,stimulusJOSU26_2IFC_2019_Jun_13_0846_44,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,22,0,22,0,8.7,-1,wrong answer,0.472655852325,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_45,stimulusJOSU26_2IFC_2019_Jun_13_0846_46,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,23,0,23,0,8.7,-1,correct answer,0.500381399412,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_47,stimulusJOSU26_2IFC_2019_Jun_13_0846_48,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,24,0,24,0,8.7,-1,correct answer,0.401947968639,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_49,stimulusJOSU26_2IFC_2019_Jun_13_0846_50,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,25,0,25,0,8.7,-1,correct answer,0.464862006716,True,False,stimulusJOSU26_2IFC_2019_Jun_13_0846_51,stimulusJOSU26_2IFC_2019_Jun_13_0846_52,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,26,0,26,0,8.7,-1,correct answer,0.568898597732,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_53,stimulusJOSU26_2IFC_2019_Jun_13_0846_54,False,2019_Jun_13_0846,2IFC,,JOSU26,
2IFC,27,0,27,0,8.7,-1,correct answer,0.434342268854,False,True,stimulusJOSU26_2IFC_2019_Jun_13_0846_55,stimulusJOSU26_2IFC_2019_Jun_13_0846_56,False,2019_Jun_13_0846,2IFC,,JOSU26,
