Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,8.7,-1,Correct Rejection,0.533984764013,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_1,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,1,0,1,0,8.7,-1,Hit,0.525856321212,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_2,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,2,0,2,0,8.7,-1,Correct Rejection,0.567181274761,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_3,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,3,0,3,0,8.7,-1,Miss,0.801324674394,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_4,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,4,0,4,0,8.7,-1,Correct Rejection,0.571193972602,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_5,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,5,0,5,0,8.7,-1,Hit,0.533483073581,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_6,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,6,0,6,0,8.7,-1,Hit,0.53007306112,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_7,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,7,0,7,0,8.7,-1,Correct Rejection,0.567291712388,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_8,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,8,0,8,0,8.7,-1,Hit,0.533541782293,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_9,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,9,0,9,0,8.7,-1,Correct Rejection,0.466560443863,False,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_10,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
Yes-No Task,10,0,10,0,8.7,-1,Hit,0.502466162667,True,-1,stimulus_JOSU26_Yes-No Task_2019_Jun_13_0920_11,-1,False,2019_Jun_13_0920,Yes-No Task,,JOSU26,
