Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,3.5,-1,Correct Rejection,0.43279189989,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_1,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,1,0,1,0,8.4,-1,Miss,0.500574300066,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_2,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,2,0,2,0,8.4,-1,Hit,0.634780599969,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_3,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,3,0,3,0,11.6,-1,Hit,0.56738890009,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_4,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,4,0,4,0,6.4,-1,Correct Rejection,0.533459499944,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_5,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,5,0,5,0,3.5,-1,Miss,0.534051000141,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_6,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,6,0,6,0,11.6,-1,Correct Rejection,0.600621700054,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_7,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,7,0,7,0,6.4,-1,Correct Rejection,0.567727599991,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_8,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,8,0,8,0,6.4,-1,Hit,0.568925400032,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_9,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,9,0,9,0,6.4,-1,False Alarm,0.667368400143,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_10,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,10,0,10,0,11.6,-1,False Alarm,0.735566399992,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_11,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,11,0,11,0,5.1,-1,Miss,0.769308099989,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_12,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,12,0,12,0,8.4,-1,Correct Rejection,0.73193540005,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_13,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,13,0,13,0,5.1,-1,Correct Rejection,0.564064400038,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_14,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,14,0,14,0,7.4,-1,Hit,0.667586199939,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_15,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,15,0,15,0,5.1,-1,Miss,0.700087299803,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_16,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,16,0,16,0,7.4,-1,Hit,0.600896899821,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_17,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,17,0,17,0,10.4,-1,Hit,0.567430600058,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_18,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,18,0,18,0,5.1,-1,Hit,0.667401399929,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_19,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,19,0,19,0,10.4,-1,Correct Rejection,0.867649399908,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_20,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,20,0,20,0,10.4,-1,Correct Rejection,0.601755799958,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_21,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,21,0,21,0,10.4,-1,Correct Rejection,0.666745999828,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_22,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,22,0,22,0,3.5,-1,No Answer,-1,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_23,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,23,0,23,0,3.5,-1,Correct Rejection,0.867342199897,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_24,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,24,0,24,0,8.4,-1,Hit,0.532481099945,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_25,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,25,0,25,0,6.4,-1,False Alarm,0.500550700119,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_26,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,26,0,26,0,5.1,-1,False Alarm,0.534175700042,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_27,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,27,0,27,0,11.6,-1,Hit,0.499593999935,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_28,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,28,0,28,0,8.4,-1,Hit,0.567993599921,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_29,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,29,0,29,0,8.4,-1,Correct Rejection,0.500354200136,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_30,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,30,0,30,0,8.4,-1,Hit,0.534131499939,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_31,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,31,0,31,0,7.4,-1,Hit,0.600475799991,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_32,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,32,0,32,0,11.6,-1,Correct Rejection,0.567940000212,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_33,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,33,0,33,0,5.1,-1,Hit,0.567179100122,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_34,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,34,0,34,0,3.5,-1,Hit,0.702845199965,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_35,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,35,0,35,0,8.4,-1,Hit,0.534653500188,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_36,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,36,0,36,0,7.4,-1,Correct Rejection,0.600232899887,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_37,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,37,0,37,0,10.4,-1,Hit,0.533362200018,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_38,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,38,0,38,0,7.4,-1,Hit,0.634489400079,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_39,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,39,0,39,0,6.4,-1,False Alarm,0.699545399984,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_40,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,40,0,40,0,5.1,-1,Correct Rejection,0.834217000054,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_41,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,41,0,41,0,7.4,-1,Correct Rejection,0.567589899991,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_42,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,42,0,42,0,3.5,-1,False Alarm,0.600588700036,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_43,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,43,0,43,0,7.4,-1,Hit,0.600991900079,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_44,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,44,0,44,0,7.4,-1,Hit,0.734132099897,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_45,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,45,0,45,0,8.4,-1,Hit,0.668445300078,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_46,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,46,0,46,0,10.4,-1,Correct Rejection,0.599291699938,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_47,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
Yes-No Task,47,0,47,0,7.4,-1,Correct Rejection,0.600472199963,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1535_48,-1,True,2019_Jun_13_1535,Yes-No Task,2,KLRU16,
