Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
2IFC,0,0,0,0,9.7,-1,correct answer,0.46762212133,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_1,stimulusRAMA04_2IFC_2019_Jun_11_1449_2,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,1,0,1,0,9.7,-1,correct answer,0.399466204923,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_3,stimulusRAMA04_2IFC_2019_Jun_11_1449_4,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,2,0,2,0,9.7,-1,correct answer,0.301077524666,True,False,stimulusRAMA04_2IFC_2019_Jun_11_1449_5,stimulusRAMA04_2IFC_2019_Jun_11_1449_6,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,3,0,3,0,9.7,-1,correct answer,0.266993408091,True,False,stimulusRAMA04_2IFC_2019_Jun_11_1449_7,stimulusRAMA04_2IFC_2019_Jun_11_1449_8,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,4,0,4,0,9.7,-1,correct answer,0.367968952749,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_9,stimulusRAMA04_2IFC_2019_Jun_11_1449_10,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,5,0,5,0,9.7,-1,correct answer,0.470326402225,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_11,stimulusRAMA04_2IFC_2019_Jun_11_1449_12,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,6,0,6,0,9.7,-1,correct answer,0.534646567423,True,False,stimulusRAMA04_2IFC_2019_Jun_11_1449_13,stimulusRAMA04_2IFC_2019_Jun_11_1449_14,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,7,0,7,0,9.7,-1,correct answer,0.368364310358,True,False,stimulusRAMA04_2IFC_2019_Jun_11_1449_15,stimulusRAMA04_2IFC_2019_Jun_11_1449_16,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,8,0,8,0,9.7,-1,correct answer,0.300666976254,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_17,stimulusRAMA04_2IFC_2019_Jun_11_1449_18,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,9,0,9,0,9.7,-1,correct answer,0.401131388731,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_19,stimulusRAMA04_2IFC_2019_Jun_11_1449_20,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,10,0,10,0,9.7,-1,correct answer,0.402168843895,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_21,stimulusRAMA04_2IFC_2019_Jun_11_1449_22,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,11,0,11,0,9.7,-1,correct answer,0.42989562219,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_23,stimulusRAMA04_2IFC_2019_Jun_11_1449_24,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,12,0,12,0,9.7,-1,correct answer,0.434053243138,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_25,stimulusRAMA04_2IFC_2019_Jun_11_1449_26,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,13,0,13,0,9.7,-1,correct answer,0.468359876424,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_27,stimulusRAMA04_2IFC_2019_Jun_11_1449_28,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,14,0,14,0,9.7,-1,correct answer,0.499169460963,False,True,stimulusRAMA04_2IFC_2019_Jun_11_1449_29,stimulusRAMA04_2IFC_2019_Jun_11_1449_30,2019_Jun_11_1449,2IFC,,RAMA04,
2IFC,15,0,15,0,9.7,-1,correct answer,0.368035872001,True,False,stimulusRAMA04_2IFC_2019_Jun_11_1449_31,stimulusRAMA04_2IFC_2019_Jun_11_1449_32,2019_Jun_11_1449,2IFC,,RAMA04,
