Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
2IFCnew,0,0,0,0,-1,1,null,11.0,-1,Hit,0.40136088524,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_1,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_2,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,1,0,1,0,0.30153610697,2,Yes,11.0,-1,Correct Rejection,0.26859003026,False,True,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_3,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_4,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,2,0,2,0,0.267327594571,1,No,11.0,-1,Hit,0.467576961499,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_5,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_6,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,3,0,3,0,0.134234459139,4,Yes,11.0,-1,Miss,0.302469693124,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_7,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_8,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,4,0,4,0,-1,0,Yes,11.0,-1,No Answer,-1,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_9,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_10,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,5,0,5,0,0.5349655631,2,Yes,11.0,-1,Correct Rejection,0.466420857701,False,True,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_11,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_12,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,6,0,6,0,-1,0,Yes,11.0,-1,No Answer,-1,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_13,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_14,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,7,0,7,0,0.534370268229,1,No,11.0,-1,Hit,0.801151423249,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_15,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_16,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,8,0,8,0,-1,0,No,11.0,-1,No Answer,-1,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_17,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_18,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,9,0,9,0,0.267689287663,1,No,11.0,-1,Hit,0.235331115313,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_19,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_20,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,10,0,10,0,0.432308413554,1,No,11.0,-1,Hit,0.701685053762,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_21,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_22,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,11,0,11,0,0.267176923342,2,Yes,11.0,-1,Correct Rejection,0.46853189636,False,True,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_23,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_24,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,12,0,12,0,0.600994840264,6,No,11.0,-1,Miss,0.40071139764,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_25,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_26,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,13,0,13,0,0.200345024467,6,No,11.0,-1,Miss,0.467543706764,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_27,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_28,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,14,0,14,0,-1,0,No,11.0,-1,No Answer,-1,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_29,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_30,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,15,0,15,0,-1,0,No,11.0,-1,No Answer,-1,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_31,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_32,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,16,0,16,0,0.436041527428,3,No,11.0,-1,False Alarm,0.668706543744,False,True,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_33,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_34,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,17,0,17,0,0.561859339941,1,No,11.0,-1,Hit,0.266260169446,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_35,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_36,2019_Jun_11_1631,2IFCnew,,RAMA04,
2IFCnew,18,0,18,0,-1,1,No,11.0,-1,Hit,0.246540721506,True,False,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_37,stimulusRAMA04_2IFCnew_2019_Jun_11_1631_38,2019_Jun_11_1631,2IFCnew,,RAMA04,
