Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,0,0,0,0,8.0,-1,Miss,0.46801542677,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_1,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,1,0,1,0,8.0,-1,Correct Rejection,0.63352380041,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_2,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,2,0,2,0,8.0,-1,Correct Rejection,0.434420683887,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_3,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,3,0,3,0,8.0,-1,Hit,0.534300064668,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_4,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,4,0,4,0,8.0,-1,Hit,0.468793415464,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_5,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,5,0,5,0,8.0,-1,Correct Rejection,0.568702355959,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_6,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,6,0,6,0,8.0,-1,False Alarm,0.468191551976,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_7,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,7,0,7,0,8.0,-1,Correct Rejection,0.468011731748,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_8,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,8,0,8,0,8.0,-1,Hit,0.59947211761,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_9,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,9,0,9,0,8.0,-1,Correct Rejection,0.625366619322,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_10,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,10,0,10,0,8.0,-1,Hit,0.434282329399,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_11,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,11,0,11,0,8.0,-1,Correct Rejection,0.467903346755,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_12,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,12,0,12,0,8.0,-1,Correct Rejection,0.567827478051,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_13,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,13,0,13,0,8.0,-1,Hit,0.465105051175,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_14,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,14,0,14,0,8.0,-1,Hit,0.667399768718,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_15,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,15,0,15,0,8.0,-1,Hit,0.434281097725,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_16,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,16,0,16,0,8.0,-1,False Alarm,0.7019666899,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_17,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,17,0,17,0,8.0,-1,Correct Rejection,0.701040493324,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_18,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,18,0,18,0,8.0,-1,Correct Rejection,0.633394888137,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_19,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,19,0,19,0,8.0,-1,Hit,0.499696604908,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_20,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,20,0,20,0,8.0,-1,Correct Rejection,0.592179961037,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_21,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,21,0,21,0,8.0,-1,Hit,0.60050710896,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_22,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,22,0,22,0,8.0,-1,Correct Rejection,0.666308942251,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_23,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,23,0,23,0,8.0,-1,Hit,0.656850324012,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_24,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,24,0,24,0,8.0,-1,Hit,0.539521415718,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_25,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,25,0,25,0,8.0,-1,Correct Rejection,0.533273283858,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_26,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,26,0,26,0,8.0,-1,Correct Rejection,0.468862798065,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_27,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,27,0,27,0,8.0,-1,Hit,0.634969340172,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_28,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,28,0,28,0,8.0,-1,Hit,0.595441355836,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_29,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,29,0,29,0,8.0,-1,Hit,0.467958771158,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_30,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,30,0,30,0,8.0,-1,Correct Rejection,0.368592164479,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_31,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,31,0,31,0,8.0,-1,Hit,0.491278726142,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_32,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,32,0,32,0,8.0,-1,Hit,0.625267266762,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_33,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,33,0,33,0,8.0,-1,Correct Rejection,0.533124255016,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_34,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,34,0,34,0,8.0,-1,Correct Rejection,0.534727856051,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_35,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,35,0,35,0,8.0,-1,Hit,0.625116185285,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_36,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,36,0,36,0,8.0,-1,Correct Rejection,0.399005981162,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_37,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,37,0,37,0,8.0,-1,Correct Rejection,0.441009160131,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_38,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,38,0,38,0,8.0,-1,Miss,0.600308403838,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_39,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
Yes-No Task,39,0,39,0,8.0,-1,Correct Rejection,0.500773472711,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1355_40,-1,2019_Jun_11_1355,Yes-No Task,,RAMA04,
