Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,0,0,0,0,7.0,-1,Miss,0.534887148533,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_1,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,1,0,1,0,7.0,-1,Hit,0.538637505379,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_2,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,2,0,2,0,7.0,-1,False Alarm,0.569797698408,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_3,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,3,0,3,0,7.0,-1,Correct Rejection,0.59987445455,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_4,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,4,0,4,0,7.0,-1,Correct Rejection,0.500003695022,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_5,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,5,0,5,0,7.0,-1,Hit,0.46735772863,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_6,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,6,0,6,0,7.0,-1,Correct Rejection,0.734301460907,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_7,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,7,0,7,0,7.0,-1,Correct Rejection,0.500837518368,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_8,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,8,0,8,0,7.0,-1,Hit,0.500096068252,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_9,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,9,0,9,0,7.0,-1,Correct Rejection,0.469262261409,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_10,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,10,0,10,0,7.0,-1,Hit,0.534861694556,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_11,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,11,0,11,0,7.0,-1,Correct Rejection,0.534768089652,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_12,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,12,0,12,0,7.0,-1,Hit,0.566427919082,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_13,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,13,0,13,0,7.0,-1,Hit,0.627696480136,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_14,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,14,0,14,0,7.0,-1,Correct Rejection,0.49907585606,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_15,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,15,0,15,0,7.0,-1,Hit,0.55834956374,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_16,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,16,0,16,0,7.0,-1,Correct Rejection,0.501078510191,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_17,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,17,0,17,0,7.0,-1,Hit,0.533557794057,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_18,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,18,0,18,0,7.0,-1,Correct Rejection,0.502432497684,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_19,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,19,0,19,0,7.0,-1,Hit,0.369387396146,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_20,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,20,0,20,0,7.0,-1,Correct Rejection,0.371381428558,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_21,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,21,0,21,0,7.0,-1,Hit,0.432323603891,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_22,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,22,0,22,0,7.0,-1,Correct Rejection,0.570281323977,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_23,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,23,0,23,0,7.0,-1,Hit,0.470450387802,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_24,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,24,0,24,0,7.0,-1,Correct Rejection,0.491814491339,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_25,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,25,0,25,0,7.0,-1,Hit,0.570581845473,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_26,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,26,0,26,0,7.0,-1,Correct Rejection,0.566383990925,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_27,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,27,0,27,0,7.0,-1,False Alarm,0.559599272441,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_28,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,28,0,28,0,7.0,-1,Correct Rejection,0.5017694626,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_29,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,29,0,29,0,7.0,-1,Correct Rejection,0.502841814421,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_30,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,30,0,30,0,7.0,-1,Correct Rejection,0.611194908619,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_31,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,31,0,31,0,7.0,-1,Hit,0.500059529208,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_32,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,32,0,32,0,7.0,-1,Hit,0.565105954185,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_33,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,33,0,33,0,7.0,-1,Hit,0.501699259039,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_34,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,34,0,34,0,7.0,-1,Correct Rejection,0.501373283565,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_35,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,35,0,35,0,7.0,-1,Hit,0.458223853726,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_36,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,36,0,36,0,7.0,-1,Correct Rejection,0.433998229913,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_37,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,37,0,37,0,7.0,-1,False Alarm,0.566437772475,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_38,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
Yes-No Task,38,0,38,0,7.0,-1,Hit,0.535844546743,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1652_39,-1,2019_Jun_11_1652,Yes-No Task,1,RORE28,
