Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
2IFC,0,0,0,0,6.6,-1,correct answer,0.701023249887,True,False,stimulusRORE28_2IFC_2019_Jun_11_1818_1,stimulusRORE28_2IFC_2019_Jun_11_1818_2,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,1,0,1,0,6.6,-1,correct answer,0.599755395204,False,True,stimulusRORE28_2IFC_2019_Jun_11_1818_3,stimulusRORE28_2IFC_2019_Jun_11_1818_4,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,2,0,2,0,6.6,-1,correct answer,0.633717989549,False,True,stimulusRORE28_2IFC_2019_Jun_11_1818_5,stimulusRORE28_2IFC_2019_Jun_11_1818_6,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,3,0,3,0,6.6,-1,correct answer,0.568288112991,False,True,stimulusRORE28_2IFC_2019_Jun_11_1818_7,stimulusRORE28_2IFC_2019_Jun_11_1818_8,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,4,0,4,0,6.6,-1,correct answer,0.567412413657,True,False,stimulusRORE28_2IFC_2019_Jun_11_1818_9,stimulusRORE28_2IFC_2019_Jun_11_1818_10,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,5,0,5,0,6.6,-1,correct answer,0.533454335295,False,True,stimulusRORE28_2IFC_2019_Jun_11_1818_11,stimulusRORE28_2IFC_2019_Jun_11_1818_12,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,6,0,6,0,6.6,-1,correct answer,0.434076233767,False,True,stimulusRORE28_2IFC_2019_Jun_11_1818_13,stimulusRORE28_2IFC_2019_Jun_11_1818_14,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,7,0,7,0,6.6,-1,correct answer,0.399452656973,True,False,stimulusRORE28_2IFC_2019_Jun_11_1818_15,stimulusRORE28_2IFC_2019_Jun_11_1818_16,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,8,0,8,0,6.6,-1,correct answer,0.599946710747,True,False,stimulusRORE28_2IFC_2019_Jun_11_1818_17,stimulusRORE28_2IFC_2019_Jun_11_1818_18,2019_Jun_11_1818,2IFC,2,RORE28,
2IFC,9,0,9,0,6.6,-1,wrong answer,0.437072824687,True,False,stimulusRORE28_2IFC_2019_Jun_11_1818_19,stimulusRORE28_2IFC_2019_Jun_11_1818_20,2019_Jun_11_1818,2IFC,2,RORE28,
