Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
2IFCnew,0,0,0,0,0.533565594349,2,Yes,6.6,-1,Correct Rejection,0.600311277434,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_1,stimulusRORE28_2IFCnew_2019_Jun_11_1716_2,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,1,0,1,0,-1,3,Yes,6.6,-1,Correct Rejection,0.597322076559,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_3,stimulusRORE28_2IFCnew_2019_Jun_11_1716_4,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,2,0,2,0,-1,3,Yes,6.6,-1,Correct Rejection,0.83866854338,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_5,stimulusRORE28_2IFCnew_2019_Jun_11_1716_6,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,3,0,3,0,0.667320122477,2,Yes,6.6,-1,Correct Rejection,0.600970207248,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_7,stimulusRORE28_2IFCnew_2019_Jun_11_1716_8,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,4,0,4,0,-1,1,Yes,6.6,-1,Hit,0.635578182992,True,False,stimulusRORE28_2IFCnew_2019_Jun_11_1716_9,stimulusRORE28_2IFCnew_2019_Jun_11_1716_10,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,5,0,5,0,0.833959556185,1,No,6.6,-1,Hit,0.635281356983,True,False,stimulusRORE28_2IFCnew_2019_Jun_11_1716_11,stimulusRORE28_2IFCnew_2019_Jun_11_1716_12,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,6,0,6,0,0.734152020887,1,No,6.6,-1,Hit,0.700603259727,True,False,stimulusRORE28_2IFCnew_2019_Jun_11_1716_13,stimulusRORE28_2IFCnew_2019_Jun_11_1716_14,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,7,0,7,0,0.600500540342,2,Yes,6.6,-1,Correct Rejection,0.833285846747,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_15,stimulusRORE28_2IFCnew_2019_Jun_11_1716_16,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,8,0,8,0,0.670977695845,2,Yes,6.6,-1,Correct Rejection,0.773227992468,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_17,stimulusRORE28_2IFCnew_2019_Jun_11_1716_18,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,9,0,9,0,0.634743539151,1,No,6.6,-1,Hit,0.567415287253,True,False,stimulusRORE28_2IFCnew_2019_Jun_11_1716_19,stimulusRORE28_2IFCnew_2019_Jun_11_1716_20,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,10,0,10,0,0.576015860308,2,Yes,6.6,-1,Correct Rejection,0.799906230997,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_21,stimulusRORE28_2IFCnew_2019_Jun_11_1716_22,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,11,0,11,0,-1,4,Yes,6.6,-1,Miss,0.533440376632,True,False,stimulusRORE28_2IFCnew_2019_Jun_11_1716_23,stimulusRORE28_2IFCnew_2019_Jun_11_1716_24,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,12,0,12,0,-1,0,Yes,6.6,-1,No Answer,-1,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_25,stimulusRORE28_2IFCnew_2019_Jun_11_1716_26,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,13,0,13,0,0.568169053644,2,Yes,6.6,-1,Correct Rejection,0.633742622565,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_27,stimulusRORE28_2IFCnew_2019_Jun_11_1716_28,2019_Jun_11_1716,2IFCnew,2,RORE28,
2IFCnew,14,0,14,0,0.56999435043,2,Yes,6.6,-1,Correct Rejection,0.567448541988,False,True,stimulusRORE28_2IFCnew_2019_Jun_11_1716_29,stimulusRORE28_2IFCnew_2019_Jun_11_1716_30,2019_Jun_11_1716,2IFCnew,2,RORE28,
