Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,-1,1,null,3.7,-1,Hit,0.637462100014,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_1,stimulusRORE28_2IFCnew_2019_Jun_12_1708_2,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,1,0,1,0,-1,2,null,4.4,-1,False Alarm,0.636353899958,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_3,stimulusRORE28_2IFCnew_2019_Jun_12_1708_4,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,2,0,2,0,0.69933740003,5,Yes,1.4,-1,False Alarm,0.668269799789,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_5,stimulusRORE28_2IFCnew_2019_Jun_12_1708_6,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,3,0,3,0,0.667447299929,2,Yes,3.7,-1,Correct Rejection,0.733482700074,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_7,stimulusRORE28_2IFCnew_2019_Jun_12_1708_8,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,4,0,4,0,0.733759799972,2,Yes,1.4,-1,Correct Rejection,0.73408850003,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_9,stimulusRORE28_2IFCnew_2019_Jun_12_1708_10,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,5,0,5,0,0.83423869987,5,Yes,5,-1,False Alarm,0.834243199788,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_11,stimulusRORE28_2IFCnew_2019_Jun_12_1708_12,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,6,0,6,0,0.66705769999,3,No,2.2,-1,False Alarm,0.835656199837,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_13,stimulusRORE28_2IFCnew_2019_Jun_12_1708_14,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,7,0,7,0,-1,0,No,3.7,-1,No Answer,-1,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_15,stimulusRORE28_2IFCnew_2019_Jun_12_1708_16,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,8,0,8,0,-1,1,No,5,-1,Hit,0.500515300082,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_17,stimulusRORE28_2IFCnew_2019_Jun_12_1708_18,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,9,0,9,0,-1,1,No,6.6,-1,Hit,0.500692399917,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_19,stimulusRORE28_2IFCnew_2019_Jun_12_1708_20,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,10,0,10,0,0.699572199956,3,No,5,-1,False Alarm,0.333884600084,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_21,stimulusRORE28_2IFCnew_2019_Jun_12_1708_22,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,11,0,11,0,-1,3,No,3.7,-1,Correct Rejection,0.901109799976,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_23,stimulusRORE28_2IFCnew_2019_Jun_12_1708_24,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,12,0,12,0,-1,3,No,3,-1,Correct Rejection,0.867103799945,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_25,stimulusRORE28_2IFCnew_2019_Jun_12_1708_26,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,13,0,13,0,0.767534699989,5,Yes,5,-1,False Alarm,0.668287100038,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_27,stimulusRORE28_2IFCnew_2019_Jun_12_1708_28,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,14,0,14,0,-1,1,Yes,2.2,-1,Hit,0.633621999994,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_29,stimulusRORE28_2IFCnew_2019_Jun_12_1708_30,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,15,0,15,0,-1,2,Yes,5.7,-1,False Alarm,0.56735609984,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_31,stimulusRORE28_2IFCnew_2019_Jun_12_1708_32,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,16,0,16,0,-1,3,Yes,5.7,-1,Correct Rejection,0.901219499996,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_33,stimulusRORE28_2IFCnew_2019_Jun_12_1708_34,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,17,0,17,0,0.700001700083,5,Yes,2.2,-1,False Alarm,0.567560099997,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_35,stimulusRORE28_2IFCnew_2019_Jun_12_1708_36,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,18,0,18,0,-1,0,Yes,2.2,-1,No Answer,-1,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_37,stimulusRORE28_2IFCnew_2019_Jun_12_1708_38,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,19,0,19,0,-1,1,Yes,4.4,-1,Hit,0.601281299954,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_39,stimulusRORE28_2IFCnew_2019_Jun_12_1708_40,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,20,0,20,0,-1,2,Yes,5.7,-1,False Alarm,0.533874500077,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_41,stimulusRORE28_2IFCnew_2019_Jun_12_1708_42,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,21,0,21,0,0.767310099909,6,No,2.2,-1,Miss,0.700770199997,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_43,stimulusRORE28_2IFCnew_2019_Jun_12_1708_44,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,22,0,22,0,-1,1,No,2.2,-1,Hit,0.601954899961,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_45,stimulusRORE28_2IFCnew_2019_Jun_12_1708_46,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,23,0,23,0,-1,1,No,6.6,-1,Hit,0.501135600032,True,False,stimulusRORE28_2IFCnew_2019_Jun_12_1708_47,stimulusRORE28_2IFCnew_2019_Jun_12_1708_48,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
2IFCnew,24,0,24,0,-1,3,No,5,-1,Correct Rejection,0.665317900013,False,True,stimulusRORE28_2IFCnew_2019_Jun_12_1708_49,stimulusRORE28_2IFCnew_2019_Jun_12_1708_50,True,2019_Jun_12_1708,2IFCnew,3,RORE28,
