Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,10.7,-1,correct answer,0.831731700106,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_1,stimulusWOAN27_2IFC_2019_Jun_12_1505_2,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,1,0,1,0,14.3,-1,correct answer,0.467421800131,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_3,stimulusWOAN27_2IFC_2019_Jun_12_1505_4,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,2,0,2,0,1.4,-1,wrong answer,0.667102599982,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_5,stimulusWOAN27_2IFC_2019_Jun_12_1505_6,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,3,0,3,0,14.3,-1,correct answer,0.533647800097,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_7,stimulusWOAN27_2IFC_2019_Jun_12_1505_8,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,4,0,4,0,5.8,-1,correct answer,0.502086600056,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_9,stimulusWOAN27_2IFC_2019_Jun_12_1505_10,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,5,0,5,0,1.4,-1,correct answer,0.500514799962,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_11,stimulusWOAN27_2IFC_2019_Jun_12_1505_12,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,6,0,6,0,9.1,-1,correct answer,0.435420900118,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_13,stimulusWOAN27_2IFC_2019_Jun_12_1505_14,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,7,0,7,0,7.5,-1,correct answer,0.500394399976,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_15,stimulusWOAN27_2IFC_2019_Jun_12_1505_16,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,8,0,8,0,12.4,-1,correct answer,0.500719199888,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_17,stimulusWOAN27_2IFC_2019_Jun_12_1505_18,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,9,0,9,0,14.3,-1,correct answer,0.50070149987,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_19,stimulusWOAN27_2IFC_2019_Jun_12_1505_20,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,10,0,10,0,12.4,-1,correct answer,0.501380899921,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_21,stimulusWOAN27_2IFC_2019_Jun_12_1505_22,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,11,0,11,0,5.8,-1,correct answer,0.500862200046,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_23,stimulusWOAN27_2IFC_2019_Jun_12_1505_24,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,12,0,12,0,3.8,-1,correct answer,0.634023300139,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_25,stimulusWOAN27_2IFC_2019_Jun_12_1505_26,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,13,0,13,0,3.8,-1,correct answer,0.6675177,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_27,stimulusWOAN27_2IFC_2019_Jun_12_1505_28,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,14,0,14,0,7.5,-1,correct answer,0.533709399868,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_29,stimulusWOAN27_2IFC_2019_Jun_12_1505_30,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,15,0,15,0,14.3,-1,correct answer,0.432375800097,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_31,stimulusWOAN27_2IFC_2019_Jun_12_1505_32,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,16,0,16,0,12.4,-1,correct answer,0.53410020005,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_33,stimulusWOAN27_2IFC_2019_Jun_12_1505_34,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,17,0,17,0,1.4,-1,correct answer,0.700871800072,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_35,stimulusWOAN27_2IFC_2019_Jun_12_1505_36,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,18,0,18,0,5.8,-1,correct answer,0.433856100077,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_37,stimulusWOAN27_2IFC_2019_Jun_12_1505_38,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,19,0,19,0,12.4,-1,correct answer,0.500299999956,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_39,stimulusWOAN27_2IFC_2019_Jun_12_1505_40,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,20,0,20,0,9.1,-1,correct answer,0.467667900026,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_41,stimulusWOAN27_2IFC_2019_Jun_12_1505_42,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,21,0,21,0,9.1,-1,correct answer,0.601015900029,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_43,stimulusWOAN27_2IFC_2019_Jun_12_1505_44,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,22,0,22,0,5.8,-1,correct answer,0.501258400036,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_45,stimulusWOAN27_2IFC_2019_Jun_12_1505_46,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,23,0,23,0,14.3,-1,correct answer,0.500858900137,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_47,stimulusWOAN27_2IFC_2019_Jun_12_1505_48,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,24,0,24,0,7.5,-1,correct answer,0.499560300028,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_49,stimulusWOAN27_2IFC_2019_Jun_12_1505_50,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,25,0,25,0,9.1,-1,correct answer,0.467228200054,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_51,stimulusWOAN27_2IFC_2019_Jun_12_1505_52,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,26,0,26,0,14.3,-1,correct answer,0.566737099783,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_53,stimulusWOAN27_2IFC_2019_Jun_12_1505_54,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,27,0,27,0,3.8,-1,correct answer,0.499427300179,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_55,stimulusWOAN27_2IFC_2019_Jun_12_1505_56,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,28,0,28,0,9.1,-1,correct answer,0.60050099995,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_57,stimulusWOAN27_2IFC_2019_Jun_12_1505_58,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,29,0,29,0,3.8,-1,wrong answer,0.734259000048,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_59,stimulusWOAN27_2IFC_2019_Jun_12_1505_60,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,30,0,30,0,7.5,-1,correct answer,0.535356599838,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_61,stimulusWOAN27_2IFC_2019_Jun_12_1505_62,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,31,0,31,0,10.7,-1,wrong answer,0.467359799892,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_63,stimulusWOAN27_2IFC_2019_Jun_12_1505_64,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,32,0,32,0,5.8,-1,wrong answer,0.534132900182,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_65,stimulusWOAN27_2IFC_2019_Jun_12_1505_66,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,33,0,33,0,3.8,-1,correct answer,0.501016099937,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_67,stimulusWOAN27_2IFC_2019_Jun_12_1505_68,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,34,0,34,0,10.7,-1,correct answer,0.46752039995,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_69,stimulusWOAN27_2IFC_2019_Jun_12_1505_70,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,35,0,35,0,10.7,-1,correct answer,0.400779000018,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_71,stimulusWOAN27_2IFC_2019_Jun_12_1505_72,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,36,0,36,0,12.4,-1,correct answer,0.433516100049,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_73,stimulusWOAN27_2IFC_2019_Jun_12_1505_74,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,37,0,37,0,5.8,-1,correct answer,0.800974700134,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_75,stimulusWOAN27_2IFC_2019_Jun_12_1505_76,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,38,0,38,0,5.8,-1,correct answer,0.669055500068,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_77,stimulusWOAN27_2IFC_2019_Jun_12_1505_78,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,39,0,39,0,1.4,-1,correct answer,0.434976999881,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_79,stimulusWOAN27_2IFC_2019_Jun_12_1505_80,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,40,0,40,0,14.3,-1,correct answer,0.467449699994,True,False,stimulusWOAN27_2IFC_2019_Jun_12_1505_81,stimulusWOAN27_2IFC_2019_Jun_12_1505_82,True,2019_Jun_12_1505,2IFC,2,WOAN27,
2IFC,41,0,41,0,12.4,-1,correct answer,0.400127700064,False,True,stimulusWOAN27_2IFC_2019_Jun_12_1505_83,stimulusWOAN27_2IFC_2019_Jun_12_1505_84,True,2019_Jun_12_1505,2IFC,2,WOAN27,
