Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.297791300109,4,Yes,3.8,-1,Miss,0.601634400198,True,False,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_1,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_2,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,1,0,1,0,0.233404099941,2,Yes,3.8,-1,Correct Rejection,0.600478200009,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_3,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_4,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,2,0,2,0,-1,3,Yes,14.3,-1,Correct Rejection,0.502018300118,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_5,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_6,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,3,0,3,0,0.2668765001,2,Yes,1.4,-1,Correct Rejection,0.468528199941,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_7,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_8,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,4,0,4,0,-1,2,Yes,5.8,-1,False Alarm,0.600965300109,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_9,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_10,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,5,0,5,0,0.167144400068,2,Yes,5.8,-1,Correct Rejection,0.46706249984,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_11,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_12,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,6,0,6,0,0.20073859999,6,No,14.3,-1,Miss,0.500550199999,True,False,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_13,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_14,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,7,0,7,0,0.133161399979,1,No,14.3,-1,Hit,0.564968799939,True,False,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_15,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_16,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,8,0,8,0,0.0993592999876,2,Yes,10.7,-1,Correct Rejection,0.533926800126,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_17,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_18,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
2IFCnew,9,0,9,0,0.167076500133,2,Yes,3.8,-1,Correct Rejection,0.466319700005,False,True,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_19,stimulusWOAN27_2IFCnew_2019_Jun_12_1557_20,True,2019_Jun_12_1557,2IFCnew,2,WOAN27,
