Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,3.8,-1,Miss,0.700696800137,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_1,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,1,0,1,0,7.5,-1,Correct Rejection,0.466121900128,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_2,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,2,0,2,0,10.7,-1,Hit,0.534317700192,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_3,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,3,0,3,0,1.4,-1,Miss,0.567355799954,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_4,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,4,0,4,0,3.8,-1,Correct Rejection,0.503701999784,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_5,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,5,0,5,0,10.7,-1,False Alarm,0.43328560004,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_6,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,6,0,6,0,10.7,-1,Miss,0.467884099809,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_7,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,7,0,7,0,7.5,-1,Correct Rejection,0.53387140017,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_8,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,8,0,8,0,1.4,-1,Correct Rejection,0.535628500162,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_9,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
Yes-No Task,9,0,9,0,14.3,-1,Correct Rejection,0.500644600019,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1534_10,-1,True,2019_Jun_12_1534,Yes-No Task,2,WOAN27,
