Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,18,-1,Miss,0.467913300032,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_1,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,1,0,1,0,18,-1,Correct Rejection,0.466939199949,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_2,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,2,0,2,0,18,-1,Correct Rejection,0.333921499783,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_3,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,3,0,3,0,18,-1,Miss,0.367411600193,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_4,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,4,0,4,0,18,-1,Hit,0.468940600054,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_5,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,5,0,5,0,18,-1,Correct Rejection,0.400560599985,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_6,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,6,0,6,0,18,-1,Correct Rejection,0.434014400002,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_7,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,7,0,7,0,18,-1,Correct Rejection,0.400181500008,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_8,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,8,0,8,0,18,-1,Correct Rejection,0.400526900077,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_9,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,9,0,9,0,18,-1,Correct Rejection,0.400411900133,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_10,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,10,0,10,0,18,-1,Hit,0.433750899974,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_11,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,11,0,11,0,18,-1,Hit,0.400515199872,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_12,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,12,0,12,0,18,-1,Correct Rejection,0.467871699948,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_13,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,13,0,13,0,18,-1,Correct Rejection,0.40019389987,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_14,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,14,0,14,0,18,-1,Correct Rejection,0.40111039998,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_15,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,15,0,15,0,18,-1,Hit,0.400277100038,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_16,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,16,0,16,0,18,-1,Hit,0.400653299876,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_17,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,17,0,17,0,18,-1,Correct Rejection,0.432866899995,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_18,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,18,0,18,0,18,-1,Hit,0.435597499833,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_19,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,19,0,19,0,18,-1,Correct Rejection,0.533961599926,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_20,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,20,0,20,0,18,-1,Correct Rejection,0.400189700071,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_21,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,21,0,21,0,18,-1,Hit,0.399580500089,True,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_22,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,22,0,22,0,18,-1,Correct Rejection,0.366233900189,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_23,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
Yes-No Task,23,0,23,0,18,-1,Correct Rejection,0.401472199941,False,-1,stimulus_DIAN07_Yes-No Task_2019_Jun_13_1627_24,-1,False,2019_Jun_13_1627,Yes-No Task,1,DIAN07,
