Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,16.9,-1,wrong answer,0.633537400048,True,False,stimulusDIAN07_2IFC_2019_Jun_13_1802_1,stimulusDIAN07_2IFC_2019_Jun_13_1802_2,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,1,0,1,0,16.9,-1,correct answer,0.466746499995,False,True,stimulusDIAN07_2IFC_2019_Jun_13_1802_3,stimulusDIAN07_2IFC_2019_Jun_13_1802_4,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,2,0,2,0,16.9,-1,wrong answer,0.333792800084,False,True,stimulusDIAN07_2IFC_2019_Jun_13_1802_5,stimulusDIAN07_2IFC_2019_Jun_13_1802_6,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,3,0,3,0,16.9,-1,correct answer,0.267330500064,True,False,stimulusDIAN07_2IFC_2019_Jun_13_1802_7,stimulusDIAN07_2IFC_2019_Jun_13_1802_8,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,4,0,4,0,16.9,-1,correct answer,0.367489099968,True,False,stimulusDIAN07_2IFC_2019_Jun_13_1802_9,stimulusDIAN07_2IFC_2019_Jun_13_1802_10,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,5,0,5,0,16.9,-1,correct answer,0.266013399931,True,False,stimulusDIAN07_2IFC_2019_Jun_13_1802_11,stimulusDIAN07_2IFC_2019_Jun_13_1802_12,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,6,0,6,0,16.9,-1,correct answer,0.467649299884,False,True,stimulusDIAN07_2IFC_2019_Jun_13_1802_13,stimulusDIAN07_2IFC_2019_Jun_13_1802_14,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,7,0,7,0,16.9,-1,correct answer,0.232913599815,True,False,stimulusDIAN07_2IFC_2019_Jun_13_1802_15,stimulusDIAN07_2IFC_2019_Jun_13_1802_16,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,8,0,8,0,16.9,-1,correct answer,0.133669600124,True,False,stimulusDIAN07_2IFC_2019_Jun_13_1802_17,stimulusDIAN07_2IFC_2019_Jun_13_1802_18,False,2019_Jun_13_1802,2IFC,2,DIAN07,
2IFC,9,0,9,0,16.9,-1,correct answer,0.434200400021,False,True,stimulusDIAN07_2IFC_2019_Jun_13_1802_19,stimulusDIAN07_2IFC_2019_Jun_13_1802_20,False,2019_Jun_13_1802,2IFC,2,DIAN07,
