Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.334968799958,3,No,11.1,-1,False Alarm,0.567396999802,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_1,stimulusHACA03_2IFCnew_2019_Jul_03_1432_2,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,1,0,1,0,0.235884100199,1,No,11.1,-1,Hit,0.533728699898,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_3,stimulusHACA03_2IFCnew_2019_Jul_03_1432_4,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,2,0,2,0,0.134442700073,1,No,11.1,-1,Hit,0.500917500118,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_5,stimulusHACA03_2IFCnew_2019_Jul_03_1432_6,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,3,0,3,0,0.534046800109,2,Yes,11.1,-1,Correct Rejection,0.900334500009,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_7,stimulusHACA03_2IFCnew_2019_Jul_03_1432_8,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,4,0,4,0,0.0986583000049,1,No,11.1,-1,Hit,0.467208799906,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_9,stimulusHACA03_2IFCnew_2019_Jul_03_1432_10,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,5,0,5,0,0.336356699932,5,Yes,11.1,-1,False Alarm,0.435718500055,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_11,stimulusHACA03_2IFCnew_2019_Jul_03_1432_12,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,6,0,6,0,0.267009999836,1,No,11.1,-1,Hit,0.467783899978,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_13,stimulusHACA03_2IFCnew_2019_Jul_03_1432_14,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,7,0,7,0,0.500386800151,1,No,11.1,-1,Hit,0.568454199936,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_15,stimulusHACA03_2IFCnew_2019_Jul_03_1432_16,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,8,0,8,0,0.200815499993,1,No,11.1,-1,Hit,0.467975999927,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_17,stimulusHACA03_2IFCnew_2019_Jul_03_1432_18,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,9,0,9,0,0.302537299925,2,Yes,11.1,-1,Correct Rejection,0.56769419997,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_19,stimulusHACA03_2IFCnew_2019_Jul_03_1432_20,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,10,0,10,0,0.10101299989,1,No,11.1,-1,Hit,0.500872100005,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_21,stimulusHACA03_2IFCnew_2019_Jul_03_1432_22,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,11,0,11,0,0.134065000108,1,No,11.1,-1,Hit,0.469026299892,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_23,stimulusHACA03_2IFCnew_2019_Jul_03_1432_24,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,12,0,12,0,0.299055400072,2,Yes,11.1,-1,Correct Rejection,0.566421099938,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_25,stimulusHACA03_2IFCnew_2019_Jul_03_1432_26,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,13,0,13,0,0.433055600151,2,Yes,11.1,-1,Correct Rejection,0.467181300046,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_27,stimulusHACA03_2IFCnew_2019_Jul_03_1432_28,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,14,0,14,0,0.0672577000223,1,No,11.1,-1,Hit,0.467133599799,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_29,stimulusHACA03_2IFCnew_2019_Jul_03_1432_30,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,15,0,15,0,0.334306299919,2,Yes,11.1,-1,Correct Rejection,0.534207799938,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_31,stimulusHACA03_2IFCnew_2019_Jul_03_1432_32,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,16,0,16,0,0.434295200044,2,Yes,11.1,-1,Correct Rejection,0.568040999817,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_33,stimulusHACA03_2IFCnew_2019_Jul_03_1432_34,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,17,0,17,0,0.268309400184,2,Yes,11.1,-1,Correct Rejection,0.467055100016,False,True,stimulusHACA03_2IFCnew_2019_Jul_03_1432_35,stimulusHACA03_2IFCnew_2019_Jul_03_1432_36,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
2IFCnew,18,0,18,0,0.100547999842,1,No,11.1,-1,Hit,0.49889869988,True,False,stimulusHACA03_2IFCnew_2019_Jul_03_1432_37,stimulusHACA03_2IFCnew_2019_Jul_03_1432_38,False,2019_Jul_03_1432,2IFCnew,3,HACA03,
