Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,3.5,-1,correct answer,0.53395260009,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_1,stimulusKLRU16_2IFC_2019_Jun_13_1429_2,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,1,0,1,0,11.6,-1,correct answer,0.301361900056,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_3,stimulusKLRU16_2IFC_2019_Jun_13_1429_4,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,2,0,2,0,9.3,-1,correct answer,0.600588399917,False,True,stimulusKLRU16_2IFC_2019_Jun_13_1429_5,stimulusKLRU16_2IFC_2019_Jun_13_1429_6,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,3,0,3,0,6.4,-1,correct answer,0.534694100032,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_7,stimulusKLRU16_2IFC_2019_Jun_13_1429_8,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,4,0,4,0,3.5,-1,correct answer,0.435110599967,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_9,stimulusKLRU16_2IFC_2019_Jun_13_1429_10,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,5,0,5,0,6.4,-1,correct answer,0.501119300025,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_11,stimulusKLRU16_2IFC_2019_Jun_13_1429_12,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,6,0,6,0,5.1,-1,correct answer,0.667515499983,False,True,stimulusKLRU16_2IFC_2019_Jun_13_1429_13,stimulusKLRU16_2IFC_2019_Jun_13_1429_14,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,7,0,7,0,11.6,-1,correct answer,0.668918999843,False,True,stimulusKLRU16_2IFC_2019_Jun_13_1429_15,stimulusKLRU16_2IFC_2019_Jun_13_1429_16,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,8,0,8,0,5.1,-1,wrong answer,0.634122900199,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_17,stimulusKLRU16_2IFC_2019_Jun_13_1429_18,True,2019_Jun_13_1429,2IFC,2,KLRU16,
2IFC,9,0,9,0,10.4,-1,correct answer,0.567903200164,True,False,stimulusKLRU16_2IFC_2019_Jun_13_1429_19,stimulusKLRU16_2IFC_2019_Jun_13_1429_20,True,2019_Jun_13_1429,2IFC,2,KLRU16,
