Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.666869499953,2,Yes,6.4,-1,Correct Rejection,0.566324099898,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_1,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_2,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,1,0,1,0,0.333264800021,1,No,10.4,-1,Hit,0.566596499877,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_3,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_4,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,2,0,2,0,0.399218400009,1,No,3.5,-1,Hit,0.700830499874,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_5,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_6,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,3,0,3,0,0.567048799945,1,No,6.4,-1,Hit,0.700814899988,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_7,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_8,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,4,0,4,0,0.400631900178,4,Yes,3.5,-1,Miss,0.734027100028,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_9,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_10,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,5,0,5,0,0.400693100179,1,No,9.3,-1,Hit,0.567564300029,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_11,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_12,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,6,0,6,0,0.500537900021,2,Yes,9.3,-1,Correct Rejection,0.634295499884,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_13,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_14,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,7,0,7,0,0.433789199917,8,No,9.3,-1,Correct Rejection,0.535059600137,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_15,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_16,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,8,0,8,0,0.435353400186,2,Yes,8.4,-1,Correct Rejection,0.568394300062,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_17,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_18,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,9,0,9,0,0.36720330012,1,No,5.1,-1,Hit,0.59892629995,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_19,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_20,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,10,0,10,0,0.567334800027,1,No,8.4,-1,Hit,0.600851100171,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_21,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_22,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,11,0,11,0,0.401307299966,2,Yes,5.1,-1,Correct Rejection,0.567370899953,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_23,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_24,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,12,0,12,0,0.467066199984,1,No,6.4,-1,Hit,0.634218999883,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_25,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_26,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,13,0,13,0,0.334208799992,1,No,8.4,-1,Hit,0.566440400202,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_27,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_28,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,14,0,14,0,0.334409700008,3,No,8.4,-1,False Alarm,0.53329390008,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_29,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_30,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,15,0,15,0,0.633393900003,2,Yes,8.4,-1,Correct Rejection,0.901089099934,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_31,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_32,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,16,0,16,0,0.433030599961,2,Yes,5.1,-1,Correct Rejection,0.667858100031,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_33,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_34,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,17,0,17,0,0.433856200194,1,No,5.1,-1,Hit,0.534025799949,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_35,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_36,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,18,0,18,0,0.366599799832,3,No,7.4,-1,False Alarm,0.601878400194,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_37,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_38,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,19,0,19,0,0.700343000004,5,Yes,8.4,-1,False Alarm,0.76684330008,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_39,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_40,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,20,0,20,0,0.400569600053,4,Yes,5.1,-1,Miss,0.500665999949,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_41,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_42,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,21,0,21,0,0.466494700173,2,Yes,6.4,-1,Correct Rejection,0.668365199817,False,True,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_43,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_44,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,22,0,22,0,0.26699839998,1,No,7.4,-1,Hit,0.566972899949,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_45,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_46,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,23,0,23,0,0.333270100178,1,No,11.6,-1,Hit,0.536014899844,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_47,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_48,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,24,0,24,0,0.500512499828,1,No,11.6,-1,Hit,0.500554000027,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_49,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_50,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
2IFCnew,25,0,25,0,0.467188499868,4,Yes,11.6,-1,Miss,0.500561000081,True,False,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_51,stimulusKLRU16_2IFCnew_2019_Jun_13_1506_52,True,2019_Jun_13_1506,2IFCnew,2,KLRU16,
