Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,11.6,-1,Correct Rejection,0.50037090003,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_1,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,1,0,1,0,11.6,-1,Correct Rejection,0.767601999978,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_2,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,2,0,2,0,11.6,-1,Hit,0.465846799954,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_3,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,3,0,3,0,11.6,-1,Correct Rejection,0.500047599955,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_4,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,4,0,4,0,11.6,-1,Hit,0.467043799988,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_5,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,5,0,5,0,11.6,-1,Hit,0.50055300002,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_6,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,6,0,6,0,11.6,-1,Hit,0.466540599999,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_7,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,7,0,7,0,11.6,-1,Correct Rejection,0.433268700028,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_8,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,8,0,8,0,11.6,-1,Correct Rejection,0.500842100009,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_9,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,9,0,9,0,11.6,-1,Hit,0.433882299985,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_10,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,10,0,10,0,11.6,-1,Hit,0.567295400018,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_11,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,11,0,11,0,11.6,-1,Hit,0.533118799969,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_12,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,12,0,12,0,11.6,-1,Correct Rejection,0.43482340005,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_13,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,13,0,13,0,11.6,-1,Correct Rejection,0.468655399978,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_14,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,14,0,14,0,11.6,-1,Hit,0.433735699975,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_15,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,15,0,15,0,11.6,-1,Correct Rejection,0.468343099987,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_16,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,16,0,16,0,11.6,-1,Hit,0.433704799972,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_17,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,17,0,17,0,11.6,-1,Hit,0.467097399989,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_18,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,18,0,18,0,11.6,-1,Correct Rejection,0.434455199982,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_19,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,19,0,19,0,11.6,-1,Hit,0.400884000002,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_20,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,20,0,20,0,11.6,-1,Correct Rejection,0.367252200027,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_21,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,21,0,21,0,11.6,-1,Hit,0.367227700015,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_22,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,22,0,22,0,11.6,-1,Correct Rejection,0.400444800034,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_23,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,23,0,23,0,11.6,-1,Hit,0.399507800001,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_24,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,24,0,24,0,11.6,-1,Hit,0.500494200038,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_25,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,25,0,25,0,11.6,-1,Hit,0.535440100008,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_26,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,26,0,26,0,11.6,-1,Hit,0.567598299996,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_27,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,27,0,27,0,11.6,-1,Correct Rejection,0.500837199972,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_28,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
Yes-No Task,28,0,28,0,11.6,-1,Correct Rejection,0.536061400024,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_17_1717_29,-1,False,2019_Jun_17_1717,Yes-No Task,3,KLRU16,
