Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,9,-1,Miss,0.533399500011,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_1,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,1,0,1,0,9,-1,Correct Rejection,0.466829499986,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_2,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,2,0,2,0,9,-1,False Alarm,0.467237300007,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_3,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,3,0,3,0,9,-1,Hit,0.46734220002,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_4,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,4,0,4,0,9,-1,Hit,0.434099500009,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_5,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,5,0,5,0,9,-1,Hit,0.433738099993,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_6,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,6,0,6,0,9,-1,Correct Rejection,0.366788199986,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_7,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,7,0,7,0,9,-1,Hit,0.467476699996,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_8,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,8,0,8,0,9,-1,Correct Rejection,0.567618800007,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_9,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,9,0,9,0,9,-1,Hit,0.434553600004,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_10,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,10,0,10,0,9,-1,Miss,0.400633800018,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_11,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
Yes-No Task,11,0,11,0,9,-1,Hit,0.400271499995,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1208_12,-1,False,2019_Jun_17_1208,Yes-No Task,1,MIJA04,
