Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.4990062,2,Yes,11.5,-1,Correct Rejection,0.467369699996,False,True,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_1,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_2,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,1,0,1,0,0.333481999987,1,No,11.5,-1,Hit,0.633413499978,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_3,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_4,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,2,0,2,0,0.266900100018,1,No,11.5,-1,Hit,0.634163400013,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_5,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_6,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,3,0,3,0,0.23387299999,1,No,11.5,-1,Hit,0.633925700007,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_7,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_8,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,4,0,4,0,0.567952499987,1,No,11.5,-1,Hit,0.467453499994,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_9,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_10,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,5,0,5,0,0.298350899975,2,Yes,11.5,-1,Correct Rejection,0.531440199993,False,True,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_11,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_12,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,6,0,6,0,0.3665721,1,No,11.5,-1,Hit,0.6344255,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_13,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_14,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,7,0,7,0,0.266626600001,1,No,11.5,-1,Hit,0.40057659999,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_15,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_16,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,8,0,8,0,0.201355600002,1,No,11.5,-1,Hit,0.535036000016,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_17,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_18,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,9,0,9,0,0.300185900007,2,Yes,11.5,-1,Correct Rejection,0.567422499997,False,True,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_19,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_20,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,10,0,10,0,0.233595199999,1,No,11.5,-1,Hit,0.50059879999,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_21,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_22,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,11,0,11,0,0.302414700011,2,Yes,11.5,-1,Correct Rejection,0.46730660001,False,True,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_23,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_24,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
2IFCnew,12,0,12,0,0.133417200006,1,No,11.5,-1,Hit,0.471110700018,True,False,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_25,stimulusMIJA04_2IFCnew_2019_Jun_17_1309_26,False,2019_Jun_17_1309,2IFCnew,2,MIJA04,
