Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,9.6,-1,correct answer,0.500831699988,True,False,stimulusMIJA04_2IFC_2019_Jun_18_1414_1,stimulusMIJA04_2IFC_2019_Jun_18_1414_2,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,1,0,1,0,1,-1,correct answer,0.500096900039,True,False,stimulusMIJA04_2IFC_2019_Jun_18_1414_3,stimulusMIJA04_2IFC_2019_Jun_18_1414_4,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,2,0,2,0,4.9,-1,correct answer,0.367501100001,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_5,stimulusMIJA04_2IFC_2019_Jun_18_1414_6,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,3,0,3,0,11.5,-1,correct answer,0.434054100013,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_7,stimulusMIJA04_2IFC_2019_Jun_18_1414_8,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,4,0,4,0,6.6,-1,correct answer,0.500481499999,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_9,stimulusMIJA04_2IFC_2019_Jun_18_1414_10,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,5,0,5,0,9.6,-1,wrong answer,0.734019100026,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_11,stimulusMIJA04_2IFC_2019_Jun_18_1414_12,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,6,0,6,0,1,-1,correct answer,0.401136600005,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_13,stimulusMIJA04_2IFC_2019_Jun_18_1414_14,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,7,0,7,0,3.3,-1,wrong answer,0.333849099989,True,False,stimulusMIJA04_2IFC_2019_Jun_18_1414_15,stimulusMIJA04_2IFC_2019_Jun_18_1414_16,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,8,0,8,0,11.5,-1,correct answer,0.365334799979,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_17,stimulusMIJA04_2IFC_2019_Jun_18_1414_18,True,2019_Jun_18_1414,2IFC,3,MIJA04,
2IFC,9,0,9,0,6.6,-1,correct answer,0.334045900032,False,True,stimulusMIJA04_2IFC_2019_Jun_18_1414_19,stimulusMIJA04_2IFC_2019_Jun_18_1414_20,True,2019_Jun_18_1414,2IFC,3,MIJA04,
