Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,9,-1,Hit,0.533840800024,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_1,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,1,0,1,0,9,-1,Correct Rejection,0.500825800002,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_2,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,2,0,2,0,9,-1,Hit,0.46734599999,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_3,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,3,0,3,0,9,-1,False Alarm,0.7011184,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_4,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,4,0,4,0,9,-1,False Alarm,0.601274899993,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_5,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,5,0,5,0,9,-1,Miss,0.734097999986,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_6,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,6,0,6,0,9,-1,False Alarm,0.5341243,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_7,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,7,0,7,0,9,-1,Hit,0.532944300008,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_8,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,8,0,8,0,9,-1,Hit,0.499753300013,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_9,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,9,0,9,0,9,-1,False Alarm,0.467791200004,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_10,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,10,0,10,0,9,-1,False Alarm,0.567448799993,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_11,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,11,0,11,0,9,-1,Correct Rejection,0.667911900004,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_12,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,12,0,12,0,9,-1,Hit,0.599912999984,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_13,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,13,0,13,0,9,-1,Hit,0.633949799987,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_14,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,14,0,14,0,9,-1,Hit,0.567263400008,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_15,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,15,0,15,0,9,-1,Correct Rejection,0.534083400009,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_16,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,16,0,16,0,9,-1,Hit,0.664854000002,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_17,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,17,0,17,0,9,-1,Correct Rejection,0.566748299985,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_18,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,18,0,18,0,9,-1,False Alarm,0.605283400015,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_19,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,19,0,19,0,9,-1,Hit,0.566808599979,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_20,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,20,0,20,0,9,-1,False Alarm,0.567960799992,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_21,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,21,0,21,0,9,-1,False Alarm,0.568299200007,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_22,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,22,0,22,0,9,-1,Correct Rejection,0.600500999979,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_23,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,23,0,23,0,9,-1,Hit,0.632996900007,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_24,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,24,0,24,0,9,-1,Hit,0.53451540001,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_25,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,25,0,25,0,9,-1,Hit,0.601307500008,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_26,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,26,0,26,0,9,-1,Hit,0.533787099994,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_27,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,27,0,27,0,9,-1,Correct Rejection,0.501242800005,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_28,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
Yes-No Task,28,0,28,0,9,-1,Correct Rejection,0.499482100015,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1408_29,-1,False,2019_Jun_17_1408,Yes-No Task,1,MIPA23,
