Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,9.6,-1,correct answer,0.567323399999,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_1,stimulusMIPA23_2IFC_2019_Jun_17_1531_2,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,1,0,1,0,7.6,-1,correct answer,0.400638299994,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_3,stimulusMIPA23_2IFC_2019_Jun_17_1531_4,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,2,0,2,0,7.6,-1,correct answer,0.334233400004,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_5,stimulusMIPA23_2IFC_2019_Jun_17_1531_6,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,3,0,3,0,2.9,-1,correct answer,0.600862500025,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_7,stimulusMIPA23_2IFC_2019_Jun_17_1531_8,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,4,0,4,0,8.6,-1,correct answer,0.666808199952,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_9,stimulusMIPA23_2IFC_2019_Jun_17_1531_10,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,5,0,5,0,7.6,-1,correct answer,0.399949099985,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_11,stimulusMIPA23_2IFC_2019_Jun_17_1531_12,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,6,0,6,0,5.7,-1,wrong answer,0.534025800007,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_13,stimulusMIPA23_2IFC_2019_Jun_17_1531_14,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,7,0,7,0,2.9,-1,correct answer,0.567635099986,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_15,stimulusMIPA23_2IFC_2019_Jun_17_1531_16,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,8,0,8,0,5.7,-1,correct answer,0.534132400004,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_17,stimulusMIPA23_2IFC_2019_Jun_17_1531_18,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,9,0,9,0,2.9,-1,correct answer,0.434125899978,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_19,stimulusMIPA23_2IFC_2019_Jun_17_1531_20,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,10,0,10,0,6.7,-1,wrong answer,0.434259900008,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_21,stimulusMIPA23_2IFC_2019_Jun_17_1531_22,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,11,0,11,0,10.7,-1,correct answer,0.567540299962,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_23,stimulusMIPA23_2IFC_2019_Jun_17_1531_24,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,12,0,12,0,10.7,-1,correct answer,0.500799699978,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_25,stimulusMIPA23_2IFC_2019_Jun_17_1531_26,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,13,0,13,0,6.7,-1,correct answer,0.467279499979,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_27,stimulusMIPA23_2IFC_2019_Jun_17_1531_28,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,14,0,14,0,8.6,-1,correct answer,0.333369500004,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_29,stimulusMIPA23_2IFC_2019_Jun_17_1531_30,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,15,0,15,0,5.7,-1,wrong answer,0.432477900002,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_31,stimulusMIPA23_2IFC_2019_Jun_17_1531_32,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,16,0,16,0,7.6,-1,correct answer,0.401130400016,False,True,stimulusMIPA23_2IFC_2019_Jun_17_1531_33,stimulusMIPA23_2IFC_2019_Jun_17_1531_34,True,2019_Jun_17_1531,2IFC,2,MIPA23,
2IFC,17,0,17,0,5.7,-1,correct answer,0.299838599982,True,False,stimulusMIPA23_2IFC_2019_Jun_17_1531_35,stimulusMIPA23_2IFC_2019_Jun_17_1531_36,True,2019_Jun_17_1531,2IFC,2,MIPA23,
