Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.333527000039,2,Yes,6.7,-1,Correct Rejection,0.501044999983,False,True,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_1,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_2,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,1,0,1,0,0.400207800034,4,Yes,8.6,-1,Miss,0.565788900014,True,False,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_3,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_4,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,2,0,2,0,0.467492899974,2,Yes,6.7,-1,Correct Rejection,0.7340234,False,True,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_5,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_6,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,3,0,3,0,0.433866399981,2,Yes,8.6,-1,Correct Rejection,0.667317299987,False,True,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_7,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_8,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,4,0,4,0,0.300321499992,1,No,8.6,-1,Hit,0.633430199989,True,False,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_9,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_10,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,5,0,5,0,0.599899599969,2,Yes,9.6,-1,Correct Rejection,0.733777799993,False,True,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_11,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_12,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,6,0,6,0,0.433595099952,2,Yes,2.9,-1,Correct Rejection,0.601808699954,False,True,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_13,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_14,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,7,0,7,0,0.300463999971,1,No,7.6,-1,Hit,0.601890599995,True,False,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_15,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_16,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,8,0,8,0,0.467069700011,1,No,7.6,-1,Hit,0.767267099989,True,False,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_17,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_18,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,9,0,9,0,0.433977800014,2,Yes,6.7,-1,Correct Rejection,0.633755700022,False,True,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_19,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_20,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
2IFCnew,10,0,10,0,0.467117300024,4,Yes,2.9,-1,Miss,0.60094959999,True,False,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_21,stimulusMIPA23_2IFCnew_2019_Jun_17_1450_22,True,2019_Jun_17_1450,2IFCnew,2,MIPA23,
