Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,9.6,-1,Correct Rejection,0.600322499988,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_1,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,1,0,1,0,9.6,-1,Hit,0.467036600021,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_2,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,2,0,2,0,2.9,-1,Miss,0.433211700001,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_3,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,3,0,3,0,5.7,-1,Hit,0.733934399992,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_4,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,4,0,4,0,10.7,-1,Hit,0.467144100025,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_5,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,5,0,5,0,7.6,-1,Correct Rejection,0.567344500014,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_6,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,6,0,6,0,9.6,-1,Miss,0.500621399988,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_7,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,7,0,7,0,4.5,-1,Correct Rejection,0.638193799998,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_8,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,8,0,8,0,2.9,-1,Correct Rejection,0.631300899986,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_9,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,9,0,9,0,9.6,-1,False Alarm,0.767469199985,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_10,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,10,0,10,0,10.7,-1,Correct Rejection,0.700895799993,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_11,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,11,0,11,0,9.6,-1,Hit,0.43384860002,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_12,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,12,0,12,0,10.7,-1,Hit,0.435133499996,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_13,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,13,0,13,0,7.6,-1,Hit,0.638853599987,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_14,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,14,0,14,0,10.7,-1,False Alarm,0.466646399989,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_15,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,15,0,15,0,10.7,-1,Correct Rejection,0.666899100004,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_16,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,16,0,16,0,9.6,-1,No Answer,-1,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_17,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,17,0,17,0,6.7,-1,Hit,0.500572199991,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_18,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,18,0,18,0,2.9,-1,Miss,0.53387449999,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_19,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,19,0,19,0,9.6,-1,Hit,0.534046199988,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_20,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,20,0,20,0,8.6,-1,Correct Rejection,0.567611799983,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_21,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,21,0,21,0,7.6,-1,False Alarm,0.467654799984,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_22,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,22,0,22,0,10.7,-1,Correct Rejection,0.467926500016,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_23,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,23,0,23,0,6.7,-1,Correct Rejection,0.599823800003,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_24,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,24,0,24,0,2.9,-1,Hit,0.601838200004,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_25,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,25,0,25,0,10.7,-1,Hit,0.534369800007,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_26,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,26,0,26,0,8.6,-1,Hit,0.433923700009,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_27,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,27,0,27,0,10.7,-1,Hit,0.467323499994,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_28,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,28,0,28,0,10.7,-1,False Alarm,0.434277699998,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_29,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,29,0,29,0,8.6,-1,Hit,0.4008416,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_30,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,30,0,30,0,7.6,-1,Hit,0.433582400001,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_31,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
Yes-No Task,31,0,31,0,2.9,-1,Correct Rejection,0.567533099995,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1424_32,-1,True,2019_Jun_17_1424,Yes-No Task,2,MIPA23,
