Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,9.7,-1,correct answer,0.567311000079,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_1,stimulusRAMA04_2IFC_2019_Jun_12_1228_2,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,1,0,1,0,6,-1,correct answer,0.36738760001,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_3,stimulusRAMA04_2IFC_2019_Jun_12_1228_4,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,2,0,2,0,2.6,-1,wrong answer,0.467721499968,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_5,stimulusRAMA04_2IFC_2019_Jun_12_1228_6,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,3,0,3,0,5,-1,wrong answer,0.434119099984,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_7,stimulusRAMA04_2IFC_2019_Jun_12_1228_8,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,4,0,4,0,7,-1,correct answer,0.46736320015,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_9,stimulusRAMA04_2IFC_2019_Jun_12_1228_10,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,5,0,5,0,7,-1,correct answer,0.500885999994,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_11,stimulusRAMA04_2IFC_2019_Jun_12_1228_12,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,6,0,6,0,2.6,-1,correct answer,0.469070099993,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_13,stimulusRAMA04_2IFC_2019_Jun_12_1228_14,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,7,0,7,0,9.7,-1,correct answer,0.367463399889,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_15,stimulusRAMA04_2IFC_2019_Jun_12_1228_16,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,8,0,8,0,2.6,-1,correct answer,0.434171299916,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_17,stimulusRAMA04_2IFC_2019_Jun_12_1228_18,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,9,0,9,0,5,-1,correct answer,0.367254600162,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_19,stimulusRAMA04_2IFC_2019_Jun_12_1228_20,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,10,0,10,0,7,-1,correct answer,0.33432559995,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_21,stimulusRAMA04_2IFC_2019_Jun_12_1228_22,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,11,0,11,0,9.7,-1,correct answer,0.434146200074,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_23,stimulusRAMA04_2IFC_2019_Jun_12_1228_24,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,12,0,12,0,5,-1,correct answer,0.397423000075,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_25,stimulusRAMA04_2IFC_2019_Jun_12_1228_26,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,13,0,13,0,3.8,-1,correct answer,0.400138899917,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_27,stimulusRAMA04_2IFC_2019_Jun_12_1228_28,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,14,0,14,0,5,-1,correct answer,0.367148600053,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_29,stimulusRAMA04_2IFC_2019_Jun_12_1228_30,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,15,0,15,0,2.6,-1,wrong answer,0.333574699936,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_31,stimulusRAMA04_2IFC_2019_Jun_12_1228_32,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,16,0,16,0,2.5,-1,correct answer,0.400105299894,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_33,stimulusRAMA04_2IFC_2019_Jun_12_1228_34,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,17,0,17,0,2.6,-1,wrong answer,0.435014200164,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_35,stimulusRAMA04_2IFC_2019_Jun_12_1228_36,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,18,0,18,0,9.7,-1,correct answer,0.36787889991,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_37,stimulusRAMA04_2IFC_2019_Jun_12_1228_38,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,19,0,19,0,7,-1,correct answer,0.603321000002,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_39,stimulusRAMA04_2IFC_2019_Jun_12_1228_40,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,20,0,20,0,5,-1,wrong answer,0.434007100062,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_41,stimulusRAMA04_2IFC_2019_Jun_12_1228_42,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,21,0,21,0,5,-1,correct answer,0.366063500056,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_43,stimulusRAMA04_2IFC_2019_Jun_12_1228_44,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,22,0,22,0,7,-1,correct answer,0.434122800129,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_45,stimulusRAMA04_2IFC_2019_Jun_12_1228_46,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,23,0,23,0,2.5,-1,correct answer,0.433735300088,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_47,stimulusRAMA04_2IFC_2019_Jun_12_1228_48,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,24,0,24,0,3.8,-1,wrong answer,0.46722989995,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_49,stimulusRAMA04_2IFC_2019_Jun_12_1228_50,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,25,0,25,0,3.8,-1,wrong answer,0.366258500144,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_51,stimulusRAMA04_2IFC_2019_Jun_12_1228_52,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,26,0,26,0,2.6,-1,wrong answer,0.43389840005,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_53,stimulusRAMA04_2IFC_2019_Jun_12_1228_54,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,27,0,27,0,7,-1,correct answer,0.568439000053,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_55,stimulusRAMA04_2IFC_2019_Jun_12_1228_56,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,28,0,28,0,6,-1,correct answer,0.530635199975,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_57,stimulusRAMA04_2IFC_2019_Jun_12_1228_58,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,29,0,29,0,8.2,-1,correct answer,0.434178299969,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_59,stimulusRAMA04_2IFC_2019_Jun_12_1228_60,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,30,0,30,0,6,-1,correct answer,0.500881499844,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_61,stimulusRAMA04_2IFC_2019_Jun_12_1228_62,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,31,0,31,0,2.6,-1,correct answer,0.433940300019,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_63,stimulusRAMA04_2IFC_2019_Jun_12_1228_64,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,32,0,32,0,8.2,-1,correct answer,0.404123199871,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_65,stimulusRAMA04_2IFC_2019_Jun_12_1228_66,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,33,0,33,0,8.2,-1,correct answer,0.367473399965,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_67,stimulusRAMA04_2IFC_2019_Jun_12_1228_68,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,34,0,34,0,6,-1,wrong answer,0.467439600034,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_69,stimulusRAMA04_2IFC_2019_Jun_12_1228_70,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,35,0,35,0,5,-1,correct answer,0.467650600011,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_71,stimulusRAMA04_2IFC_2019_Jun_12_1228_72,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,36,0,36,0,7,-1,correct answer,0.466417499818,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_73,stimulusRAMA04_2IFC_2019_Jun_12_1228_74,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,37,0,37,0,3.8,-1,wrong answer,0.399388399906,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_75,stimulusRAMA04_2IFC_2019_Jun_12_1228_76,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,38,0,38,0,5,-1,wrong answer,0.534221800044,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_77,stimulusRAMA04_2IFC_2019_Jun_12_1228_78,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,39,0,39,0,2.6,-1,wrong answer,0.431174800033,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_79,stimulusRAMA04_2IFC_2019_Jun_12_1228_80,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,40,0,40,0,7,-1,correct answer,0.300684400136,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_81,stimulusRAMA04_2IFC_2019_Jun_12_1228_82,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,41,0,41,0,7,-1,correct answer,0.300185999833,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_83,stimulusRAMA04_2IFC_2019_Jun_12_1228_84,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,42,0,42,0,7,-1,correct answer,0.400610100012,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_85,stimulusRAMA04_2IFC_2019_Jun_12_1228_86,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,43,0,43,0,7,-1,correct answer,0.267064900137,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_87,stimulusRAMA04_2IFC_2019_Jun_12_1228_88,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,44,0,44,0,9.7,-1,correct answer,0.300558899995,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_89,stimulusRAMA04_2IFC_2019_Jun_12_1228_90,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,45,0,45,0,6,-1,correct answer,0.567246099934,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_91,stimulusRAMA04_2IFC_2019_Jun_12_1228_92,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,46,0,46,0,5,-1,correct answer,0.600963700097,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_93,stimulusRAMA04_2IFC_2019_Jun_12_1228_94,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,47,0,47,0,9.7,-1,correct answer,0.400705100037,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_95,stimulusRAMA04_2IFC_2019_Jun_12_1228_96,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,48,0,48,0,5,-1,correct answer,0.667180199875,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_97,stimulusRAMA04_2IFC_2019_Jun_12_1228_98,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,49,0,49,0,2.6,-1,wrong answer,0.334212899907,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_99,stimulusRAMA04_2IFC_2019_Jun_12_1228_100,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,50,0,50,0,2.5,-1,correct answer,0.500630999915,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_101,stimulusRAMA04_2IFC_2019_Jun_12_1228_102,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,51,0,51,0,7,-1,correct answer,0.36715950002,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_103,stimulusRAMA04_2IFC_2019_Jun_12_1228_104,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,52,0,52,0,7,-1,correct answer,0.701146899955,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_105,stimulusRAMA04_2IFC_2019_Jun_12_1228_106,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,53,0,53,0,8.2,-1,correct answer,0.368076500017,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_107,stimulusRAMA04_2IFC_2019_Jun_12_1228_108,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,54,0,54,0,7,-1,correct answer,0.300113399979,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_109,stimulusRAMA04_2IFC_2019_Jun_12_1228_110,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,55,0,55,0,6,-1,wrong answer,0.300725499867,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_111,stimulusRAMA04_2IFC_2019_Jun_12_1228_112,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,56,0,56,0,6,-1,correct answer,0.367456400068,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_113,stimulusRAMA04_2IFC_2019_Jun_12_1228_114,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,57,0,57,0,2.6,-1,correct answer,0.50091549987,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_115,stimulusRAMA04_2IFC_2019_Jun_12_1228_116,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,58,0,58,0,5,-1,correct answer,0.367139600217,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_117,stimulusRAMA04_2IFC_2019_Jun_12_1228_118,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,59,0,59,0,6,-1,correct answer,0.334408799885,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_119,stimulusRAMA04_2IFC_2019_Jun_12_1228_120,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,60,0,60,0,3.8,-1,correct answer,0.63604410016,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_121,stimulusRAMA04_2IFC_2019_Jun_12_1228_122,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,61,0,61,0,8.2,-1,correct answer,0.300623799907,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_123,stimulusRAMA04_2IFC_2019_Jun_12_1228_124,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,62,0,62,0,2.5,-1,wrong answer,0.668322700076,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_125,stimulusRAMA04_2IFC_2019_Jun_12_1228_126,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,63,0,63,0,7,-1,correct answer,0.36673759995,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_127,stimulusRAMA04_2IFC_2019_Jun_12_1228_128,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,64,0,64,0,8.2,-1,correct answer,0.400811600033,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_129,stimulusRAMA04_2IFC_2019_Jun_12_1228_130,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,65,0,65,0,7,-1,wrong answer,0.601014400134,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_131,stimulusRAMA04_2IFC_2019_Jun_12_1228_132,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,66,0,66,0,6,-1,correct answer,0.329646900063,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_133,stimulusRAMA04_2IFC_2019_Jun_12_1228_134,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,67,0,67,0,2.6,-1,correct answer,0.600722400006,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_135,stimulusRAMA04_2IFC_2019_Jun_12_1228_136,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,68,0,68,0,7,-1,correct answer,0.43437020015,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_137,stimulusRAMA04_2IFC_2019_Jun_12_1228_138,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,69,0,69,0,8.2,-1,correct answer,0.534998500021,True,False,stimulusRAMA04_2IFC_2019_Jun_12_1228_139,stimulusRAMA04_2IFC_2019_Jun_12_1228_140,True,2019_Jun_12_1228,2IFC,3,RAMA04,
2IFC,70,0,70,0,2.5,-1,wrong answer,0.867455300177,False,True,stimulusRAMA04_2IFC_2019_Jun_12_1228_141,stimulusRAMA04_2IFC_2019_Jun_12_1228_142,True,2019_Jun_12_1228,2IFC,3,RAMA04,
