Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.133853200125,1,No,7,-1,Hit,0.367759799818,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_1,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_2,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,1,0,1,0,0.533982800087,3,No,7,-1,False Alarm,0.534004899906,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_3,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_4,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,2,0,2,0,0.467451999895,1,No,2.6,-1,Hit,0.435052599991,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_5,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_6,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,3,0,3,0,0.300193300005,1,No,5,-1,Hit,0.668380599935,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_7,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_8,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,4,0,4,0,0.432749399915,5,Yes,6,-1,False Alarm,0.667316099862,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_9,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_10,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,5,0,5,0,0.33383849985,1,No,2.6,-1,Hit,0.433137099957,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_11,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_12,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,6,0,6,0,0.535067799967,3,No,7,-1,False Alarm,0.401203699876,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_13,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_14,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,7,0,7,0,0.900802600197,5,Yes,7,-1,False Alarm,0.734094399959,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_15,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_16,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,8,0,8,0,0.434837799985,2,Yes,2.5,-1,Correct Rejection,0.666948599974,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_17,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_18,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,9,0,9,0,0.432368299924,2,Yes,2.6,-1,Correct Rejection,0.600633300142,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_19,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_20,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,10,0,10,0,0.165296299849,1,No,8.2,-1,Hit,0.402043999871,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_21,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_22,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,11,0,11,0,0.567339200061,3,No,2.6,-1,False Alarm,0.567273900146,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_23,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_24,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,12,0,12,0,0.366926800227,1,No,2.6,-1,Hit,0.56734249997,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_25,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_26,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,13,0,13,0,0.533991799923,2,Yes,2.6,-1,Correct Rejection,0.567155799828,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_27,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_28,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,14,0,14,0,0.76752639981,3,No,6,-1,False Alarm,0.434138400014,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_29,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_30,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,15,0,15,0,0.466959099984,2,Yes,9.7,-1,Correct Rejection,0.669392300071,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_31,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_32,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,16,0,16,0,0.399152900092,1,No,8.2,-1,Hit,0.434041199973,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_33,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_34,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,17,0,17,0,0.333394400077,2,Yes,9.7,-1,Correct Rejection,0.533678199863,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_35,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_36,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,18,0,18,0,0.400370300049,2,Yes,2.5,-1,Correct Rejection,0.535025499994,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_37,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_38,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,19,0,19,0,0.301160899922,1,No,8.2,-1,Hit,0.571228699991,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_39,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_40,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,20,0,20,0,0.500524300151,1,No,2.6,-1,Hit,0.768050200073,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_41,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_42,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,21,0,21,0,0.267182799987,2,Yes,2.5,-1,Correct Rejection,0.500269699842,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_43,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_44,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,22,0,22,0,0.43199740001,2,Yes,3.8,-1,Correct Rejection,0.668495499995,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_45,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_46,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,23,0,23,0,0.533681800123,3,No,8.2,-1,False Alarm,0.534369000001,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_47,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_48,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,24,0,24,0,0.500724300044,2,Yes,2.5,-1,Correct Rejection,0.60097369994,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_49,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_50,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,25,0,25,0,0.333545200061,1,No,6,-1,Hit,0.533855899936,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_51,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_52,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,26,0,26,0,0.300206399988,2,Yes,8.2,-1,Correct Rejection,0.501658400055,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_53,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_54,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,27,0,27,0,0.333734099986,1,No,6,-1,Hit,0.435205299873,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_55,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_56,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,28,0,28,0,0.300050399965,4,Yes,2.6,-1,Miss,0.435129599879,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_57,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_58,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,29,0,29,0,0.300342300208,5,Yes,2.5,-1,False Alarm,0.401319000171,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_59,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_60,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,30,0,30,0,0.466667999979,2,Yes,2.5,-1,Correct Rejection,0.500520400004,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_61,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_62,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,31,0,31,0,0.366657699924,4,Yes,2.5,-1,Miss,0.434003599919,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_63,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_64,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,32,0,32,0,0.467081699986,1,No,8.2,-1,Hit,0.567332200008,True,False,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_65,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_66,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
2IFCnew,33,0,33,0,0.400374599965,5,Yes,9.7,-1,False Alarm,0.400673199911,False,True,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_67,stimulusRAMA04_2IFCnew_2019_Jun_12_1259_68,True,2019_Jun_12_1259,2IFCnew,3,RAMA04,
