Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,6,-1,Correct Rejection,0.300309499959,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_1,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,1,0,1,0,6,-1,Miss,0.466937900055,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_2,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,2,0,2,0,2.6,-1,Miss,0.367055499926,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_3,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,3,0,3,0,3.8,-1,Hit,0.433207900031,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_4,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,4,0,4,0,5,-1,False Alarm,0.434082399821,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_5,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,5,0,5,0,6,-1,Correct Rejection,0.400820299983,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_6,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,6,0,6,0,2.5,-1,Correct Rejection,0.533860400086,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_7,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,7,0,7,0,8.2,-1,Hit,0.501725000096,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_8,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,8,0,8,0,2.5,-1,Miss,0.46769859991,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_9,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,9,0,9,0,3.8,-1,False Alarm,0.600607099943,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_10,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,10,0,10,0,5,-1,Correct Rejection,0.466365,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_11,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,11,0,11,0,2.5,-1,False Alarm,0.502661699895,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_12,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,12,0,12,0,8.2,-1,Correct Rejection,0.500489099883,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_13,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,13,0,13,0,5,-1,Hit,0.60169879999,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_14,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
Yes-No Task,14,0,14,0,3.8,-1,False Alarm,0.600314799929,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_12_1212_15,-1,True,2019_Jun_12_1212,Yes-No Task,3,RAMA04,
