Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,2.2,-1,wrong answer,0.635053199949,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_1,stimulusRORE28_2IFC_2019_Jun_12_1805_2,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,1,0,1,0,4.4,-1,correct answer,0.634296899894,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_3,stimulusRORE28_2IFC_2019_Jun_12_1805_4,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,2,0,2,0,1.4,-1,correct answer,0.667462400161,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_5,stimulusRORE28_2IFC_2019_Jun_12_1805_6,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,3,0,3,0,3,-1,wrong answer,0.634436500026,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_7,stimulusRORE28_2IFC_2019_Jun_12_1805_8,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,4,0,4,0,3.7,-1,wrong answer,0.667150599882,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_9,stimulusRORE28_2IFC_2019_Jun_12_1805_10,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,5,0,5,0,2.2,-1,wrong answer,0.733495800057,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_11,stimulusRORE28_2IFC_2019_Jun_12_1805_12,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,6,0,6,0,4.4,-1,correct answer,0.601492699934,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_13,stimulusRORE28_2IFC_2019_Jun_12_1805_14,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,7,0,7,0,5,-1,correct answer,0.7007859,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_15,stimulusRORE28_2IFC_2019_Jun_12_1805_16,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,8,0,8,0,4.4,-1,correct answer,0.501512099989,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_17,stimulusRORE28_2IFC_2019_Jun_12_1805_18,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,9,0,9,0,5,-1,correct answer,0.700542700011,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_19,stimulusRORE28_2IFC_2019_Jun_12_1805_20,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,10,0,10,0,2.2,-1,correct answer,0.499865700025,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_21,stimulusRORE28_2IFC_2019_Jun_12_1805_22,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,11,0,11,0,4.4,-1,correct answer,0.633514899993,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_23,stimulusRORE28_2IFC_2019_Jun_12_1805_24,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,12,0,12,0,4.4,-1,wrong answer,0.367296200013,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_25,stimulusRORE28_2IFC_2019_Jun_12_1805_26,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,13,0,13,0,1.4,-1,correct answer,0.666319299955,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_27,stimulusRORE28_2IFC_2019_Jun_12_1805_28,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,14,0,14,0,5,-1,correct answer,0.534693200141,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_29,stimulusRORE28_2IFC_2019_Jun_12_1805_30,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,15,0,15,0,1.4,-1,correct answer,0.634114299901,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_31,stimulusRORE28_2IFC_2019_Jun_12_1805_32,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,16,0,16,0,1.4,-1,correct answer,0.600715300068,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_33,stimulusRORE28_2IFC_2019_Jun_12_1805_34,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,17,0,17,0,3,-1,wrong answer,0.601068800082,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_35,stimulusRORE28_2IFC_2019_Jun_12_1805_36,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,18,0,18,0,3,-1,wrong answer,0.667973600095,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_37,stimulusRORE28_2IFC_2019_Jun_12_1805_38,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,19,0,19,0,6.6,-1,correct answer,0.46759549994,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_39,stimulusRORE28_2IFC_2019_Jun_12_1805_40,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,20,0,20,0,6.6,-1,correct answer,0.800728899892,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_41,stimulusRORE28_2IFC_2019_Jun_12_1805_42,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,21,0,21,0,2.2,-1,correct answer,0.500393400202,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_43,stimulusRORE28_2IFC_2019_Jun_12_1805_44,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,22,0,22,0,3.7,-1,wrong answer,0.735651999945,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_45,stimulusRORE28_2IFC_2019_Jun_12_1805_46,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,23,0,23,0,4.4,-1,correct answer,0.567003400065,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_47,stimulusRORE28_2IFC_2019_Jun_12_1805_48,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,24,0,24,0,3.7,-1,no answer,-1,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_49,stimulusRORE28_2IFC_2019_Jun_12_1805_50,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,25,0,25,0,3,-1,no answer,-1,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_51,stimulusRORE28_2IFC_2019_Jun_12_1805_52,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,26,0,26,0,5,-1,correct answer,0.267230399884,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_53,stimulusRORE28_2IFC_2019_Jun_12_1805_54,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,27,0,27,0,1.4,-1,wrong answer,0.534531800076,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_55,stimulusRORE28_2IFC_2019_Jun_12_1805_56,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,28,0,28,0,6.6,-1,correct answer,0.366677799961,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_57,stimulusRORE28_2IFC_2019_Jun_12_1805_58,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,29,0,29,0,3.7,-1,correct answer,0.601179299876,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_59,stimulusRORE28_2IFC_2019_Jun_12_1805_60,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,30,0,30,0,1.4,-1,correct answer,0.534161099931,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_61,stimulusRORE28_2IFC_2019_Jun_12_1805_62,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,31,0,31,0,2.2,-1,wrong answer,0.500471400097,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_63,stimulusRORE28_2IFC_2019_Jun_12_1805_64,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,32,0,32,0,5,-1,correct answer,0.634021800011,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_65,stimulusRORE28_2IFC_2019_Jun_12_1805_66,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,33,0,33,0,1.4,-1,correct answer,0.500762799988,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_67,stimulusRORE28_2IFC_2019_Jun_12_1805_68,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,34,0,34,0,5.7,-1,correct answer,0.467445800081,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_69,stimulusRORE28_2IFC_2019_Jun_12_1805_70,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,35,0,35,0,1.4,-1,correct answer,0.633508200059,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_71,stimulusRORE28_2IFC_2019_Jun_12_1805_72,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,36,0,36,0,6.6,-1,correct answer,0.63358959998,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_73,stimulusRORE28_2IFC_2019_Jun_12_1805_74,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,37,0,37,0,4.4,-1,wrong answer,0.4672844999,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_75,stimulusRORE28_2IFC_2019_Jun_12_1805_76,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,38,0,38,0,4.4,-1,correct answer,0.532994100126,False,True,stimulusRORE28_2IFC_2019_Jun_12_1805_77,stimulusRORE28_2IFC_2019_Jun_12_1805_78,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,39,0,39,0,4.4,-1,correct answer,0.601390799973,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_79,stimulusRORE28_2IFC_2019_Jun_12_1805_80,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,40,0,40,0,5,-1,correct answer,0.4006544,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_81,stimulusRORE28_2IFC_2019_Jun_12_1805_82,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,41,0,41,0,6.6,-1,correct answer,0.400755200069,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_83,stimulusRORE28_2IFC_2019_Jun_12_1805_84,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,42,0,42,0,5,-1,correct answer,0.50173329981,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_85,stimulusRORE28_2IFC_2019_Jun_12_1805_86,True,2019_Jun_12_1805,2IFC,3,RORE28,
2IFC,43,0,43,0,4.4,-1,correct answer,0.40072340006,True,False,stimulusRORE28_2IFC_2019_Jun_12_1805_87,stimulusRORE28_2IFC_2019_Jun_12_1805_88,True,2019_Jun_12_1805,2IFC,3,RORE28,
