Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,5,-1,False Alarm,0.500700199977,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_1,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,1,0,1,0,5,-1,Correct Rejection,0.634004899999,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_2,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,2,0,2,0,4.4,-1,Miss,0.500932299998,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_3,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,3,0,3,0,3,-1,Hit,0.667623999994,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_4,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,4,0,4,0,3,-1,Correct Rejection,0.702206100104,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_5,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,5,0,5,0,2.2,-1,No Answer,-1,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_6,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,6,0,6,0,5,-1,Hit,0.601092199795,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_7,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,7,0,7,0,3,-1,Correct Rejection,0.733887800016,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_8,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,8,0,8,0,3,-1,Miss,0.666536099976,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_9,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,9,0,9,0,5,-1,Correct Rejection,0.702528099995,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_10,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,10,0,10,0,3,-1,Hit,0.53363449988,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_11,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
Yes-No Task,11,0,11,0,6.6,-1,Correct Rejection,0.600124999881,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_12_1749_12,-1,True,2019_Jun_12_1749,Yes-No Task,3,RORE28,
