Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,9,-1,Correct Rejection,0.466949400026,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_1,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,1,0,1,0,9,-1,Miss,0.367157600005,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_2,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,2,0,2,0,9,-1,False Alarm,0.400533000007,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_3,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,3,0,3,0,9,-1,Correct Rejection,0.467346600024,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_4,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,4,0,4,0,9,-1,Miss,0.534290800046,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_5,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,5,0,5,0,9,-1,Hit,0.600976600021,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_6,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,6,0,6,0,9,-1,Hit,0.468838600034,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_7,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,7,0,7,0,9,-1,Hit,0.366724399966,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_8,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,8,0,8,0,9,-1,Hit,0.40106449998,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_9,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,9,0,9,0,9,-1,False Alarm,0.468973800016,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_10,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,10,0,10,0,9,-1,False Alarm,0.50047269999,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_11,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,11,0,11,0,9,-1,Miss,0.333427199977,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_12,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,12,0,12,0,9,-1,Hit,0.333523500012,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_13,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,13,0,13,0,9,-1,Hit,0.501569400018,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_14,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,14,0,14,0,9,-1,Correct Rejection,0.400489099964,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_15,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,15,0,15,0,9,-1,Miss,0.466756700014,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_16,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
Yes-No Task,16,0,16,0,9,-1,Hit,0.36727290001,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jun_18_1208_17,-1,False,2019_Jun_18_1208,Yes-No Task,1,TOSY08,
