Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,12.9,-1,correct answer,0.367092199973,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_1,stimulusTOSY08_2IFC_2019_Jun_18_1255_2,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,1,0,1,0,12.9,-1,correct answer,0.367470500001,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_3,stimulusTOSY08_2IFC_2019_Jun_18_1255_4,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,2,0,2,0,12.9,-1,correct answer,0.333984900033,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_5,stimulusTOSY08_2IFC_2019_Jun_18_1255_6,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,3,0,3,0,12.9,-1,correct answer,0.367495999963,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_7,stimulusTOSY08_2IFC_2019_Jun_18_1255_8,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,4,0,4,0,12.9,-1,wrong answer,0.434544000018,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_9,stimulusTOSY08_2IFC_2019_Jun_18_1255_10,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,5,0,5,0,12.9,-1,correct answer,0.300417700026,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_11,stimulusTOSY08_2IFC_2019_Jun_18_1255_12,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,6,0,6,0,12.9,-1,correct answer,0.533509199973,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_13,stimulusTOSY08_2IFC_2019_Jun_18_1255_14,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,7,0,7,0,12.9,-1,correct answer,0.367093600042,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_15,stimulusTOSY08_2IFC_2019_Jun_18_1255_16,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,8,0,8,0,12.9,-1,correct answer,0.400827400037,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_17,stimulusTOSY08_2IFC_2019_Jun_18_1255_18,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,9,0,9,0,12.9,-1,correct answer,0.366979199986,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_19,stimulusTOSY08_2IFC_2019_Jun_18_1255_20,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,10,0,10,0,12.9,-1,correct answer,0.468079200014,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_21,stimulusTOSY08_2IFC_2019_Jun_18_1255_22,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,11,0,11,0,12.9,-1,correct answer,0.53385430004,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_23,stimulusTOSY08_2IFC_2019_Jun_18_1255_24,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,12,0,12,0,12.9,-1,correct answer,0.367100200034,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_25,stimulusTOSY08_2IFC_2019_Jun_18_1255_26,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,13,0,13,0,12.9,-1,correct answer,0.36750459997,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_27,stimulusTOSY08_2IFC_2019_Jun_18_1255_28,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,14,0,14,0,12.9,-1,correct answer,0.366665899986,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_29,stimulusTOSY08_2IFC_2019_Jun_18_1255_30,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,15,0,15,0,12.9,-1,correct answer,0.366917499981,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_31,stimulusTOSY08_2IFC_2019_Jun_18_1255_32,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,16,0,16,0,12.9,-1,correct answer,0.533134200028,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_33,stimulusTOSY08_2IFC_2019_Jun_18_1255_34,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,17,0,17,0,12.9,-1,correct answer,0.334236000024,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_35,stimulusTOSY08_2IFC_2019_Jun_18_1255_36,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,18,0,18,0,12.9,-1,correct answer,0.434126700042,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_37,stimulusTOSY08_2IFC_2019_Jun_18_1255_38,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,19,0,19,0,12.9,-1,correct answer,0.302051800012,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_39,stimulusTOSY08_2IFC_2019_Jun_18_1255_40,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,20,0,20,0,12.9,-1,wrong answer,0.465583499987,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_41,stimulusTOSY08_2IFC_2019_Jun_18_1255_42,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,21,0,21,0,12.9,-1,correct answer,0.301080100005,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_43,stimulusTOSY08_2IFC_2019_Jun_18_1255_44,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,22,0,22,0,12.9,-1,correct answer,0.301089999964,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_45,stimulusTOSY08_2IFC_2019_Jun_18_1255_46,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,23,0,23,0,12.9,-1,correct answer,0.333588999987,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_47,stimulusTOSY08_2IFC_2019_Jun_18_1255_48,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,24,0,24,0,12.9,-1,correct answer,0.30018000002,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_49,stimulusTOSY08_2IFC_2019_Jun_18_1255_50,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,25,0,25,0,12.9,-1,correct answer,0.467431999976,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_51,stimulusTOSY08_2IFC_2019_Jun_18_1255_52,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,26,0,26,0,12.9,-1,correct answer,0.333820100001,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_53,stimulusTOSY08_2IFC_2019_Jun_18_1255_54,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,27,0,27,0,12.9,-1,correct answer,0.300100799999,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_55,stimulusTOSY08_2IFC_2019_Jun_18_1255_56,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,28,0,28,0,12.9,-1,correct answer,0.333980800002,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_57,stimulusTOSY08_2IFC_2019_Jun_18_1255_58,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,29,0,29,0,12.9,-1,correct answer,0.567396199971,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_59,stimulusTOSY08_2IFC_2019_Jun_18_1255_60,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,30,0,30,0,12.9,-1,correct answer,0.298957600025,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_61,stimulusTOSY08_2IFC_2019_Jun_18_1255_62,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,31,0,31,0,12.9,-1,correct answer,0.300408900017,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_63,stimulusTOSY08_2IFC_2019_Jun_18_1255_64,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,32,0,32,0,12.9,-1,correct answer,0.467134499981,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_65,stimulusTOSY08_2IFC_2019_Jun_18_1255_66,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,33,0,33,0,12.9,-1,correct answer,0.400717399956,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_67,stimulusTOSY08_2IFC_2019_Jun_18_1255_68,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,34,0,34,0,12.9,-1,correct answer,0.365690200008,True,False,stimulusTOSY08_2IFC_2019_Jun_18_1255_69,stimulusTOSY08_2IFC_2019_Jun_18_1255_70,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,35,0,35,0,12.9,-1,correct answer,0.334050400008,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_71,stimulusTOSY08_2IFC_2019_Jun_18_1255_72,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,36,0,36,0,12.9,-1,correct answer,0.500831500045,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_73,stimulusTOSY08_2IFC_2019_Jun_18_1255_74,False,2019_Jun_18_1255,2IFC,2,TOSY08,
2IFC,37,0,37,0,12.9,-1,wrong answer,0.467451200006,False,True,stimulusTOSY08_2IFC_2019_Jun_18_1255_75,stimulusTOSY08_2IFC_2019_Jun_18_1255_76,False,2019_Jun_18_1255,2IFC,2,TOSY08,
