Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.301234300015,1,No,12.9,-1,Hit,0.36738729995,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_1,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_2,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,1,0,1,0,0.300180499966,1,No,12.9,-1,Hit,0.500766700017,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_3,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_4,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,2,0,2,0,0.466964000021,1,No,12.9,-1,Hit,0.600721900002,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_5,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_6,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,3,0,3,0,0.467035399983,3,No,12.9,-1,False Alarm,0.598821000021,False,True,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_7,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_8,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,4,0,4,0,0.400449400011,1,No,12.9,-1,Hit,0.500758300012,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_9,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_10,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,5,0,5,0,0.534031999996,5,Yes,12.9,-1,False Alarm,0.500703800004,False,True,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_11,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_12,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,6,0,6,0,0.500096300035,1,No,12.9,-1,Hit,0.567315299995,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_13,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_14,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,7,0,7,0,0.466359799961,5,Yes,12.9,-1,False Alarm,0.600923800026,False,True,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_15,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_16,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,8,0,8,0,0.399970200029,1,No,12.9,-1,Hit,0.701993199997,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_17,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_18,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,9,0,9,0,0.600020000013,1,No,12.9,-1,Hit,0.70097960002,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_19,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_20,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,10,0,10,0,0.602060300007,5,Yes,12.9,-1,False Alarm,0.666484199988,False,True,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_21,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_22,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,11,0,11,0,0.500381099992,1,No,12.9,-1,Hit,0.767563399975,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_23,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_24,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,12,0,12,0,0.567826899991,2,Yes,12.9,-1,Correct Rejection,0.867561099993,False,True,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_25,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_26,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,13,0,13,0,0.367282699968,1,No,12.9,-1,Hit,0.733445599966,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_27,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_28,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,14,0,14,0,0.600704099983,2,Yes,12.9,-1,Correct Rejection,0.868665800022,False,True,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_29,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_30,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,15,0,15,0,0.533943600021,1,No,12.9,-1,Hit,0.734117600019,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_31,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_32,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
2IFCnew,16,0,16,0,0.367356899951,1,No,12.9,-1,Hit,0.53547969996,True,False,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_33,stimulusTOSY08_2IFCnew_2019_Jun_18_1224_34,False,2019_Jun_18_1224,2IFCnew,2,TOSY08,
