Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,9.7,-1,correct answer,0.633623000002,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_1,stimulusTOSY08_2IFC_2019_Jul_02_1233_2,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,1,0,1,0,10.7,-1,correct answer,0.266961299814,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_3,stimulusTOSY08_2IFC_2019_Jul_02_1233_4,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,2,0,2,0,8.7,-1,correct answer,0.334951499943,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_5,stimulusTOSY08_2IFC_2019_Jul_02_1233_6,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,3,0,3,0,10.7,-1,correct answer,0.46833329997,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_7,stimulusTOSY08_2IFC_2019_Jul_02_1233_8,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,4,0,4,0,7.7,-1,wrong answer,0.597823899938,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_9,stimulusTOSY08_2IFC_2019_Jul_02_1233_10,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,5,0,5,0,12.9,-1,correct answer,0.469378400128,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_11,stimulusTOSY08_2IFC_2019_Jul_02_1233_12,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,6,0,6,0,4.9,-1,correct answer,0.569889300037,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_13,stimulusTOSY08_2IFC_2019_Jul_02_1233_14,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,7,0,7,0,11.7,-1,correct answer,0.266547200037,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_15,stimulusTOSY08_2IFC_2019_Jul_02_1233_16,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,8,0,8,0,6.5,-1,correct answer,0.436626499984,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_17,stimulusTOSY08_2IFC_2019_Jul_02_1233_18,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,9,0,9,0,4.9,-1,correct answer,0.501379600028,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_19,stimulusTOSY08_2IFC_2019_Jul_02_1233_20,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,10,0,10,0,11.7,-1,correct answer,0.535568999825,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_21,stimulusTOSY08_2IFC_2019_Jul_02_1233_22,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,11,0,11,0,12.9,-1,correct answer,0.46698649996,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_23,stimulusTOSY08_2IFC_2019_Jul_02_1233_24,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,12,0,12,0,11.7,-1,correct answer,0.400606399868,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_25,stimulusTOSY08_2IFC_2019_Jul_02_1233_26,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,13,0,13,0,4.9,-1,correct answer,0.433374200016,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_27,stimulusTOSY08_2IFC_2019_Jul_02_1233_28,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,14,0,14,0,8.7,-1,correct answer,0.332241599914,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_29,stimulusTOSY08_2IFC_2019_Jul_02_1233_30,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,15,0,15,0,9.7,-1,correct answer,0.600948499981,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_31,stimulusTOSY08_2IFC_2019_Jul_02_1233_32,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,16,0,16,0,12.9,-1,wrong answer,0.467755600112,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_33,stimulusTOSY08_2IFC_2019_Jul_02_1233_34,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,17,0,17,0,6.5,-1,correct answer,0.53509049979,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_35,stimulusTOSY08_2IFC_2019_Jul_02_1233_36,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,18,0,18,0,11.7,-1,correct answer,0.40066169994,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_37,stimulusTOSY08_2IFC_2019_Jul_02_1233_38,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,19,0,19,0,10.7,-1,correct answer,0.333176600048,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_39,stimulusTOSY08_2IFC_2019_Jul_02_1233_40,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,20,0,20,0,7.7,-1,correct answer,0.700754699996,True,False,stimulusTOSY08_2IFC_2019_Jul_02_1233_41,stimulusTOSY08_2IFC_2019_Jul_02_1233_42,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,21,0,21,0,4.9,-1,wrong answer,0.734041800024,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_43,stimulusTOSY08_2IFC_2019_Jul_02_1233_44,True,2019_Jul_02_1233,2IFC,3,TOSY08,
2IFC,22,0,22,0,6.5,-1,correct answer,0.467545500025,False,True,stimulusTOSY08_2IFC_2019_Jul_02_1233_45,stimulusTOSY08_2IFC_2019_Jul_02_1233_46,True,2019_Jul_02_1233,2IFC,3,TOSY08,
