Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.367118999828,6,No,9.7,-1,Miss,0.467554100091,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_1,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_2,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,1,0,1,0,0.467211399926,2,Yes,11.7,-1,Correct Rejection,0.734543700004,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_3,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_4,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,2,0,2,0,0.500339600025,5,Yes,9.7,-1,False Alarm,0.632869100198,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_5,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_6,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,3,0,3,0,0.400533600012,2,Yes,9.7,-1,Correct Rejection,0.434454499977,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_7,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_8,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,4,0,4,0,0.667444099905,5,Yes,8.7,-1,False Alarm,0.600317300064,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_9,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_10,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,5,0,5,0,0.500707099913,2,Yes,8.7,-1,Correct Rejection,0.697016300168,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_11,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_12,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,6,0,6,0,0.634296200005,2,Yes,8.7,-1,Correct Rejection,0.767231999896,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_13,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_14,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,7,0,7,0,0.500426599989,1,No,11.7,-1,Hit,0.66744209989,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_15,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_16,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,8,0,8,0,0.633926200215,3,No,7.7,-1,False Alarm,0.700464700116,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_17,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_18,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,9,0,9,0,0.467147600139,1,No,7.7,-1,Hit,0.634171200218,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_19,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_20,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,10,0,10,0,0.46924060001,3,No,4.9,-1,False Alarm,0.56733380002,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_21,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_22,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,11,0,11,0,0.501095700078,5,Yes,6.5,-1,False Alarm,0.501934500178,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_23,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_24,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,12,0,12,0,0.568245799979,8,No,8.7,-1,Correct Rejection,0.400390099967,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_25,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_26,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,13,0,13,0,0.600890300004,5,Yes,9.7,-1,False Alarm,0.534860400017,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_27,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_28,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,14,0,14,0,0.599545100005,5,Yes,10.7,-1,False Alarm,0.600158999907,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_29,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_30,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,15,0,15,0,0.533451800002,5,Yes,10.7,-1,False Alarm,0.634668400045,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_31,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_32,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,16,0,16,0,0.567598500056,1,No,7.7,-1,Hit,0.568035200005,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_33,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_34,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,17,0,17,0,0.634203499882,7,Yes,6.5,-1,Hit,0.568115600152,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_35,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_36,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,18,0,18,0,0.20317000011,1,No,12.9,-1,Hit,0.433962499956,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_37,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_38,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,19,0,19,0,0.400242700009,1,No,10.7,-1,Hit,0.500934200129,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_39,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_40,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,20,0,20,0,0.568658299977,5,Yes,6.5,-1,False Alarm,0.5670866,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_41,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_42,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,21,0,21,0,0.667694899952,1,No,9.7,-1,Hit,0.500855599996,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_43,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_44,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,22,0,22,0,0.469121299917,1,No,7.7,-1,Hit,0.500707800034,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_45,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_46,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,23,0,23,0,0.600975399837,5,Yes,10.7,-1,False Alarm,0.634460299974,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_47,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_48,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,24,0,24,0,0.367528399918,2,Yes,4.9,-1,Correct Rejection,0.73443010007,False,True,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_49,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_50,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,25,0,25,0,0.467760199914,1,No,8.7,-1,Hit,0.500444200123,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_51,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_52,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
2IFCnew,26,0,26,0,0.500954899937,1,No,12.9,-1,Hit,0.56696299999,True,False,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_53,stimulusTOSY08_2IFCnew_2019_Jul_02_1205_54,True,2019_Jul_02_1205,2IFCnew,3,TOSY08,
