Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,7.7,-1,Hit,0.700604999904,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_1,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,1,0,1,0,7.7,-1,Hit,0.667574800085,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_2,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,2,0,2,0,12.9,-1,Correct Rejection,0.534402099904,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_3,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,3,0,3,0,9.7,-1,False Alarm,0.600876899902,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_4,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,4,0,4,0,7.7,-1,False Alarm,0.700425999938,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_5,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,5,0,5,0,8.7,-1,Correct Rejection,0.603462599916,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_6,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,6,0,6,0,6.5,-1,False Alarm,0.735992799979,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_7,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,7,0,7,0,8.7,-1,Hit,0.533897700021,True,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_8,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,8,0,8,0,12.9,-1,Correct Rejection,0.628327400191,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_9,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
Yes-No Task,9,0,9,0,8.7,-1,Correct Rejection,0.70064960001,False,-1,stimulus_TOSY08_Yes-No Task_2019_Jul_02_1300_10,-1,True,2019_Jul_02_1300,Yes-No Task,3,TOSY08,
