Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.567420300096,1,No,14.3,-1,Hit,0.9032228,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_1,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_2,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,1,0,1,0,0.266289900057,1,No,14.3,-1,Hit,0.467383999843,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_3,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_4,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,2,0,2,0,0.134337300202,1,No,14.3,-1,Hit,0.434710199945,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_5,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_6,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,3,0,3,0,0.0998432999477,2,Yes,14.3,-1,Correct Rejection,0.400549300015,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_7,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_8,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,4,0,4,0,0.133641999913,1,No,14.3,-1,Hit,0.467290199827,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_9,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_10,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,5,0,5,0,0.165683700005,1,No,14.3,-1,Hit,0.634977100184,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_11,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_12,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,6,0,6,0,0.0338653000072,2,Yes,14.3,-1,Correct Rejection,0.431344199926,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_13,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_14,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,7,0,7,0,0.300295099849,2,Yes,14.3,-1,Correct Rejection,0.500640899874,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_15,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_16,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,8,0,8,0,0.129185999976,1,No,14.3,-1,Hit,0.53060259996,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_17,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_18,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,9,0,9,0,0.165863099974,1,No,14.3,-1,Hit,0.467154899845,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_19,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_20,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,10,0,10,0,0.333943600068,2,Yes,14.3,-1,Correct Rejection,0.834695600206,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_21,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_22,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,11,0,11,0,0.0999991998542,1,No,14.3,-1,Hit,0.533728499897,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_23,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_24,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,12,0,12,0,0.0674203000963,1,No,14.3,-1,Hit,0.466415399918,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_25,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_26,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,13,0,13,0,0.133502400015,2,Yes,14.3,-1,Correct Rejection,0.535716699902,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_27,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_28,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,14,0,14,0,0.166905899998,1,No,14.3,-1,Hit,0.467121700058,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_29,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_30,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,15,0,15,0,0.236423499882,1,No,14.3,-1,Hit,0.566882899962,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_31,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_32,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,16,0,16,0,0.100708700018,2,Yes,14.3,-1,Correct Rejection,0.532808299875,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_33,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_34,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,17,0,17,0,0.10024369997,1,No,14.3,-1,Hit,0.467427699827,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_35,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_36,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,18,0,18,0,0.0336436999496,2,Yes,14.3,-1,Correct Rejection,0.46834719996,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_37,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_38,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,19,0,19,0,0.267186600016,2,Yes,14.3,-1,Correct Rejection,0.534047699999,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_39,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_40,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,20,0,20,0,0.0349411000498,3,No,14.3,-1,False Alarm,0.534214099869,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_41,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_42,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,21,0,21,0,0.100509700133,2,Yes,14.3,-1,Correct Rejection,0.532424600096,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_43,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_44,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,22,0,22,0,0.133758299984,2,Yes,14.3,-1,Correct Rejection,0.666949799983,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_45,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_46,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,23,0,23,0,0.133468799992,1,No,14.3,-1,Hit,0.570054800017,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_47,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_48,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,24,0,24,0,0.0670394999906,2,Yes,14.3,-1,Correct Rejection,0.499653300038,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_49,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_50,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,25,0,25,0,0.233195599867,1,No,14.3,-1,Hit,0.568348800065,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_51,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_52,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,26,0,26,0,0.100319200195,2,Yes,14.3,-1,Correct Rejection,0.500673000002,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_53,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_54,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,27,0,27,0,0.300649699988,6,No,14.3,-1,Miss,0.433896500152,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_55,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_56,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,28,0,28,0,0.0659352000803,2,Yes,14.3,-1,Correct Rejection,0.500147300074,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_57,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_58,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,29,0,29,0,0.100475399988,2,Yes,14.3,-1,Correct Rejection,0.569667899981,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_59,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_60,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,30,0,30,0,0.130712799961,2,Yes,14.3,-1,Correct Rejection,0.567368499935,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_61,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_62,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,31,0,31,0,0.0675699000712,2,Yes,14.3,-1,Correct Rejection,0.531925300136,False,True,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_63,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_64,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,32,0,32,0,0.202027099906,6,No,14.3,-1,Miss,0.534829600016,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_65,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_66,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
2IFCnew,33,0,33,0,0.232749599963,1,No,14.3,-1,Hit,0.437387200072,True,False,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_67,stimulusWOAN27_2IFCnew_2019_Jun_13_1252_68,False,2019_Jun_13_1252,2IFCnew,3,WOAN27,
