Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,14.3,-1,No Answer,-1,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_1,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,1,0,1,0,14.3,-1,Hit,0.60093000019,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_2,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,2,0,2,0,14.3,-1,Correct Rejection,0.50071589998,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_3,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,3,0,3,0,14.3,-1,Correct Rejection,0.466927600093,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_4,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,4,0,4,0,14.3,-1,Hit,0.432920899941,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_5,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,5,0,5,0,14.3,-1,Correct Rejection,0.401090600062,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_6,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,6,0,6,0,14.3,-1,Hit,0.367170999991,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_7,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,7,0,7,0,14.3,-1,Hit,0.467405300122,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_8,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,8,0,8,0,14.3,-1,Hit,0.467303200159,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_9,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,9,0,9,0,14.3,-1,Correct Rejection,0.467161900131,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_10,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,10,0,10,0,14.3,-1,Correct Rejection,0.60057749995,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_11,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
Yes-No Task,11,0,11,0,14.3,-1,Hit,0.467510099988,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_13_1231_12,-1,False,2019_Jun_13_1231,Yes-No Task,3,WOAN27,
