Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,11.7,-1,correct answer,0.702350999927,False,True,stimulus_2IFC_2019_Jul_02_1232_1,stimulus_2IFC_2019_Jul_02_1232_2,True,2019_Jul_02_1232,2IFC,,,
2IFC,1,0,1,0,7.7,-1,correct answer,0.467829899862,False,True,stimulus_2IFC_2019_Jul_02_1232_3,stimulus_2IFC_2019_Jul_02_1232_4,True,2019_Jul_02_1232,2IFC,,,
2IFC,2,0,2,0,8.7,-1,correct answer,0.33435219992,True,False,stimulus_2IFC_2019_Jul_02_1232_5,stimulus_2IFC_2019_Jul_02_1232_6,True,2019_Jul_02_1232,2IFC,,,
2IFC,3,0,3,0,8.7,-1,correct answer,0.366902499925,True,False,stimulus_2IFC_2019_Jul_02_1232_7,stimulus_2IFC_2019_Jul_02_1232_8,True,2019_Jul_02_1232,2IFC,,,
2IFC,4,0,4,0,9.7,-1,correct answer,0.632862299914,False,True,stimulus_2IFC_2019_Jul_02_1232_9,stimulus_2IFC_2019_Jul_02_1232_10,True,2019_Jul_02_1232,2IFC,,,
2IFC,5,0,5,0,12.9,-1,correct answer,0.633929000003,False,True,stimulus_2IFC_2019_Jul_02_1232_11,stimulus_2IFC_2019_Jul_02_1232_12,True,2019_Jul_02_1232,2IFC,,,
2IFC,6,0,6,0,6.5,-1,correct answer,0.535128999967,False,True,stimulus_2IFC_2019_Jul_02_1232_13,stimulus_2IFC_2019_Jul_02_1232_14,True,2019_Jul_02_1232,2IFC,,,
2IFC,7,0,7,0,10.7,-1,correct answer,0.333815400023,True,False,stimulus_2IFC_2019_Jul_02_1232_15,stimulus_2IFC_2019_Jul_02_1232_16,True,2019_Jul_02_1232,2IFC,,,
2IFC,8,0,8,0,9.7,-1,correct answer,0.433763900073,True,False,stimulus_2IFC_2019_Jul_02_1232_17,stimulus_2IFC_2019_Jul_02_1232_18,True,2019_Jul_02_1232,2IFC,,,
2IFC,9,0,9,0,11.7,-1,correct answer,0.367800599895,False,True,stimulus_2IFC_2019_Jul_02_1232_19,stimulus_2IFC_2019_Jul_02_1232_20,True,2019_Jul_02_1232,2IFC,,,
2IFC,10,0,10,0,8.7,-1,correct answer,0.265319699887,True,False,stimulus_2IFC_2019_Jul_02_1232_21,stimulus_2IFC_2019_Jul_02_1232_22,True,2019_Jul_02_1232,2IFC,,,
2IFC,11,0,11,0,4.9,-1,no answer,-1,True,False,stimulus_2IFC_2019_Jul_02_1232_23,stimulus_2IFC_2019_Jul_02_1232_24,True,2019_Jul_02_1232,2IFC,,,
