Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,11.6,-1,correct answer,0.531068800017,True,False,stimulus_2IFC_2019_Jun_13_1426_1,stimulus_2IFC_2019_Jun_13_1426_2,True,2019_Jun_13_1426,2IFC,,,
2IFC,1,0,1,0,11.6,-1,correct answer,0.569668499986,True,False,stimulus_2IFC_2019_Jun_13_1426_3,stimulus_2IFC_2019_Jun_13_1426_4,True,2019_Jun_13_1426,2IFC,,,
2IFC,2,0,2,0,10.4,-1,correct answer,0.701022100169,False,True,stimulus_2IFC_2019_Jun_13_1426_5,stimulus_2IFC_2019_Jun_13_1426_6,True,2019_Jun_13_1426,2IFC,,,
2IFC,3,0,3,0,3.5,-1,correct answer,0.601032800041,True,False,stimulus_2IFC_2019_Jun_13_1426_7,stimulus_2IFC_2019_Jun_13_1426_8,True,2019_Jun_13_1426,2IFC,,,
2IFC,4,0,4,0,3.5,-1,wrong answer,0.667273199884,False,True,stimulus_2IFC_2019_Jun_13_1426_9,stimulus_2IFC_2019_Jun_13_1426_10,True,2019_Jun_13_1426,2IFC,,,
2IFC,5,0,5,0,3.5,-1,correct answer,0.602431299863,False,True,stimulus_2IFC_2019_Jun_13_1426_11,stimulus_2IFC_2019_Jun_13_1426_12,True,2019_Jun_13_1426,2IFC,,,
2IFC,6,0,6,0,6.4,-1,correct answer,0.534321299987,True,False,stimulus_2IFC_2019_Jun_13_1426_13,stimulus_2IFC_2019_Jun_13_1426_14,True,2019_Jun_13_1426,2IFC,,,
2IFC,7,0,7,0,3.5,-1,correct answer,0.567381499801,True,False,stimulus_2IFC_2019_Jun_13_1426_15,stimulus_2IFC_2019_Jun_13_1426_16,True,2019_Jun_13_1426,2IFC,,,
2IFC,8,0,8,0,5.1,-1,correct answer,0.534665099811,True,False,stimulus_2IFC_2019_Jun_13_1426_17,stimulus_2IFC_2019_Jun_13_1426_18,True,2019_Jun_13_1426,2IFC,,,
2IFC,9,0,9,0,8.4,-1,correct answer,0.533579800045,True,False,stimulus_2IFC_2019_Jun_13_1426_19,stimulus_2IFC_2019_Jun_13_1426_20,True,2019_Jun_13_1426,2IFC,,,
2IFC,10,0,10,0,10.4,-1,correct answer,0.63399659982,False,True,stimulus_2IFC_2019_Jun_13_1426_21,stimulus_2IFC_2019_Jun_13_1426_22,True,2019_Jun_13_1426,2IFC,,,
2IFC,11,0,11,0,10.4,-1,correct answer,0.634020600002,False,True,stimulus_2IFC_2019_Jun_13_1426_23,stimulus_2IFC_2019_Jun_13_1426_24,True,2019_Jun_13_1426,2IFC,,,
2IFC,12,0,12,0,11.6,-1,correct answer,0.532844500151,True,False,stimulus_2IFC_2019_Jun_13_1426_25,stimulus_2IFC_2019_Jun_13_1426_26,True,2019_Jun_13_1426,2IFC,,,
2IFC,13,0,13,0,11.6,-1,correct answer,0.39990650001,True,False,stimulus_2IFC_2019_Jun_13_1426_27,stimulus_2IFC_2019_Jun_13_1426_28,True,2019_Jun_13_1426,2IFC,,,
2IFC,14,0,14,0,10.4,-1,correct answer,0.600781700108,True,False,stimulus_2IFC_2019_Jun_13_1426_29,stimulus_2IFC_2019_Jun_13_1426_30,True,2019_Jun_13_1426,2IFC,,,
2IFC,15,0,15,0,10.4,-1,correct answer,0.466951800045,True,False,stimulus_2IFC_2019_Jun_13_1426_31,stimulus_2IFC_2019_Jun_13_1426_32,True,2019_Jun_13_1426,2IFC,,,
2IFC,16,0,16,0,5.1,-1,correct answer,0.534487999976,True,False,stimulus_2IFC_2019_Jun_13_1426_33,stimulus_2IFC_2019_Jun_13_1426_34,True,2019_Jun_13_1426,2IFC,,,
2IFC,17,0,17,0,7.4,-1,correct answer,0.600816400023,True,False,stimulus_2IFC_2019_Jun_13_1426_35,stimulus_2IFC_2019_Jun_13_1426_36,True,2019_Jun_13_1426,2IFC,,,
2IFC,18,0,18,0,5.1,-1,correct answer,0.567139700055,True,False,stimulus_2IFC_2019_Jun_13_1426_37,stimulus_2IFC_2019_Jun_13_1426_38,True,2019_Jun_13_1426,2IFC,,,
2IFC,19,0,19,0,6.4,-1,correct answer,0.49911370012,True,False,stimulus_2IFC_2019_Jun_13_1426_39,stimulus_2IFC_2019_Jun_13_1426_40,True,2019_Jun_13_1426,2IFC,,,
2IFC,20,0,20,0,6.4,-1,wrong answer,0.667206700193,True,False,stimulus_2IFC_2019_Jun_13_1426_41,stimulus_2IFC_2019_Jun_13_1426_42,True,2019_Jun_13_1426,2IFC,,,
2IFC,21,0,21,0,6.4,-1,correct answer,0.600554500008,False,True,stimulus_2IFC_2019_Jun_13_1426_43,stimulus_2IFC_2019_Jun_13_1426_44,True,2019_Jun_13_1426,2IFC,,,
2IFC,22,0,22,0,10.4,-1,correct answer,0.700875699986,False,True,stimulus_2IFC_2019_Jun_13_1426_45,stimulus_2IFC_2019_Jun_13_1426_46,True,2019_Jun_13_1426,2IFC,,,
2IFC,23,0,23,0,9.3,-1,correct answer,0.600369999884,False,True,stimulus_2IFC_2019_Jun_13_1426_47,stimulus_2IFC_2019_Jun_13_1426_48,True,2019_Jun_13_1426,2IFC,,,
2IFC,24,0,24,0,5.1,-1,correct answer,0.46737229987,False,True,stimulus_2IFC_2019_Jun_13_1426_49,stimulus_2IFC_2019_Jun_13_1426_50,True,2019_Jun_13_1426,2IFC,,,
