Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.667134899879,1,No,12.9,-1,Hit,0.634806700051,True,False,stimulus_2IFCnew_2019_Jul_02_1202_1,stimulus_2IFCnew_2019_Jul_02_1202_2,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,1,0,1,0,0.400782400044,2,Yes,10.7,-1,Correct Rejection,0.600616600132,False,True,stimulus_2IFCnew_2019_Jul_02_1202_3,stimulus_2IFCnew_2019_Jul_02_1202_4,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,2,0,2,0,0.700428500073,6,No,6.5,-1,Miss,0.667616400169,True,False,stimulus_2IFCnew_2019_Jul_02_1202_5,stimulus_2IFCnew_2019_Jul_02_1202_6,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,3,0,3,0,0.733302399982,5,Yes,11.7,-1,False Alarm,0.834806300001,False,True,stimulus_2IFCnew_2019_Jul_02_1202_7,stimulus_2IFCnew_2019_Jul_02_1202_8,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,4,0,4,0,0.500822300091,2,Yes,10.7,-1,Correct Rejection,0.701354599791,False,True,stimulus_2IFCnew_2019_Jul_02_1202_9,stimulus_2IFCnew_2019_Jul_02_1202_10,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,5,0,5,0,0.500355399912,3,No,6.5,-1,False Alarm,0.666075300192,False,True,stimulus_2IFCnew_2019_Jul_02_1202_11,stimulus_2IFCnew_2019_Jul_02_1202_12,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,6,0,6,0,0.332060499815,1,No,11.7,-1,Hit,0.601403400069,True,False,stimulus_2IFCnew_2019_Jul_02_1202_13,stimulus_2IFCnew_2019_Jul_02_1202_14,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,7,0,7,0,0.800725499867,3,No,6.5,-1,False Alarm,0.833780699875,False,True,stimulus_2IFCnew_2019_Jul_02_1202_15,stimulus_2IFCnew_2019_Jul_02_1202_16,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,8,0,8,0,0.567992300028,1,No,8.7,-1,Hit,0.702854000032,True,False,stimulus_2IFCnew_2019_Jul_02_1202_17,stimulus_2IFCnew_2019_Jul_02_1202_18,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,9,0,9,0,0.767388900043,5,Yes,10.7,-1,False Alarm,0.700090799946,False,True,stimulus_2IFCnew_2019_Jul_02_1202_19,stimulus_2IFCnew_2019_Jul_02_1202_20,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,10,0,10,0,0.367379100062,2,Yes,6.5,-1,Correct Rejection,0.667320600012,False,True,stimulus_2IFCnew_2019_Jul_02_1202_21,stimulus_2IFCnew_2019_Jul_02_1202_22,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,11,0,11,0,0.600123999873,5,Yes,10.7,-1,False Alarm,0.667764100013,False,True,stimulus_2IFCnew_2019_Jul_02_1202_23,stimulus_2IFCnew_2019_Jul_02_1202_24,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,12,0,12,0,0.400023699971,3,No,9.7,-1,False Alarm,0.499364899937,False,True,stimulus_2IFCnew_2019_Jul_02_1202_25,stimulus_2IFCnew_2019_Jul_02_1202_26,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,13,0,13,0,0.434090099996,5,Yes,12.9,-1,False Alarm,0.5014940002,False,True,stimulus_2IFCnew_2019_Jul_02_1202_27,stimulus_2IFCnew_2019_Jul_02_1202_28,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,14,0,14,0,0.435690199956,2,Yes,10.7,-1,Correct Rejection,0.633385099936,False,True,stimulus_2IFCnew_2019_Jul_02_1202_29,stimulus_2IFCnew_2019_Jul_02_1202_30,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,15,0,15,0,0.50063120015,1,No,8.7,-1,Hit,0.633264200063,True,False,stimulus_2IFCnew_2019_Jul_02_1202_31,stimulus_2IFCnew_2019_Jul_02_1202_32,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,16,0,16,0,0.500890800031,1,No,8.7,-1,Hit,0.634509399999,True,False,stimulus_2IFCnew_2019_Jul_02_1202_33,stimulus_2IFCnew_2019_Jul_02_1202_34,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,17,0,17,0,0.535721800057,3,No,9.7,-1,False Alarm,0.568559200037,False,True,stimulus_2IFCnew_2019_Jul_02_1202_35,stimulus_2IFCnew_2019_Jul_02_1202_36,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,18,0,18,0,0.601430299925,4,Yes,8.7,-1,Miss,0.69918180001,True,False,stimulus_2IFCnew_2019_Jul_02_1202_37,stimulus_2IFCnew_2019_Jul_02_1202_38,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,19,0,19,0,0.733957899967,5,Yes,11.7,-1,False Alarm,0.567907300079,False,True,stimulus_2IFCnew_2019_Jul_02_1202_39,stimulus_2IFCnew_2019_Jul_02_1202_40,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,20,0,20,0,0.734058700036,5,Yes,11.7,-1,False Alarm,0.667855900014,False,True,stimulus_2IFCnew_2019_Jul_02_1202_41,stimulus_2IFCnew_2019_Jul_02_1202_42,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,21,0,21,0,0.53399889986,1,No,8.7,-1,Hit,0.666832000017,True,False,stimulus_2IFCnew_2019_Jul_02_1202_43,stimulus_2IFCnew_2019_Jul_02_1202_44,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,22,0,22,0,0.434387899935,1,No,12.9,-1,Hit,0.667817899957,True,False,stimulus_2IFCnew_2019_Jul_02_1202_45,stimulus_2IFCnew_2019_Jul_02_1202_46,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,23,0,23,0,0.602069500135,2,Yes,4.9,-1,Correct Rejection,0.767722300021,False,True,stimulus_2IFCnew_2019_Jul_02_1202_47,stimulus_2IFCnew_2019_Jul_02_1202_48,True,2019_Jul_02_1202,2IFCnew,,,
2IFCnew,24,0,24,0,0.537341700168,1,No,8.7,-1,Hit,0.669537300011,True,False,stimulus_2IFCnew_2019_Jul_02_1202_49,stimulus_2IFCnew_2019_Jul_02_1202_50,True,2019_Jul_02_1202,2IFCnew,,,
