Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,-1,1,null,5,-1,Hit,0.400927399984,True,False,stimulus_2IFCnew_2019_Jun_12_1258_1,stimulus_2IFCnew_2019_Jun_12_1258_2,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,1,0,1,0,-1,2,null,2.6,-1,False Alarm,0.366752499947,False,True,stimulus_2IFCnew_2019_Jun_12_1258_3,stimulus_2IFCnew_2019_Jun_12_1258_4,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,2,0,2,0,-1,1,null,9.7,-1,Hit,0.400680399965,True,False,stimulus_2IFCnew_2019_Jun_12_1258_5,stimulus_2IFCnew_2019_Jun_12_1258_6,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,3,0,3,0,0.70154680009,3,No,6,-1,False Alarm,0.467140799854,False,True,stimulus_2IFCnew_2019_Jun_12_1258_7,stimulus_2IFCnew_2019_Jun_12_1258_8,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,4,0,4,0,0.533992099809,1,No,8.2,-1,Hit,0.534114799928,True,False,stimulus_2IFCnew_2019_Jun_12_1258_9,stimulus_2IFCnew_2019_Jun_12_1258_10,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,5,0,5,0,0.566880800063,3,No,5,-1,False Alarm,0.734283699887,False,True,stimulus_2IFCnew_2019_Jun_12_1258_11,stimulus_2IFCnew_2019_Jun_12_1258_12,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,6,0,6,0,0.333815099904,1,No,2.6,-1,Hit,0.434287900105,True,False,stimulus_2IFCnew_2019_Jun_12_1258_13,stimulus_2IFCnew_2019_Jun_12_1258_14,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,7,0,7,0,0.401818600018,1,No,7,-1,Hit,0.467929099919,True,False,stimulus_2IFCnew_2019_Jun_12_1258_15,stimulus_2IFCnew_2019_Jun_12_1258_16,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,8,0,8,0,0.267159600044,1,No,2.5,-1,Hit,0.466925200075,True,False,stimulus_2IFCnew_2019_Jun_12_1258_17,stimulus_2IFCnew_2019_Jun_12_1258_18,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,9,0,9,0,0.231858199928,3,No,3.8,-1,False Alarm,0.634183900198,False,True,stimulus_2IFCnew_2019_Jun_12_1258_19,stimulus_2IFCnew_2019_Jun_12_1258_20,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,10,0,10,0,0.533932800172,5,Yes,5,-1,False Alarm,0.466502799885,False,True,stimulus_2IFCnew_2019_Jun_12_1258_21,stimulus_2IFCnew_2019_Jun_12_1258_22,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,11,0,11,0,0.467068400001,1,No,7,-1,Hit,0.500710700173,True,False,stimulus_2IFCnew_2019_Jun_12_1258_23,stimulus_2IFCnew_2019_Jun_12_1258_24,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,12,0,12,0,0.668941899901,5,Yes,2.6,-1,False Alarm,0.635114500066,False,True,stimulus_2IFCnew_2019_Jun_12_1258_25,stimulus_2IFCnew_2019_Jun_12_1258_26,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,13,0,13,0,0.432935499819,1,No,6,-1,Hit,0.433898599818,True,False,stimulus_2IFCnew_2019_Jun_12_1258_27,stimulus_2IFCnew_2019_Jun_12_1258_28,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,14,0,14,0,-1,1,No,3.8,-1,Hit,0.502408300061,True,False,stimulus_2IFCnew_2019_Jun_12_1258_29,stimulus_2IFCnew_2019_Jun_12_1258_30,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,15,0,15,0,0.56738179992,1,No,3.8,-1,Hit,0.567264500074,True,False,stimulus_2IFCnew_2019_Jun_12_1258_31,stimulus_2IFCnew_2019_Jun_12_1258_32,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,16,0,16,0,0.501132099889,1,No,2.6,-1,Hit,0.468327800045,True,False,stimulus_2IFCnew_2019_Jun_12_1258_33,stimulus_2IFCnew_2019_Jun_12_1258_34,True,2019_Jun_12_1258,2IFCnew,,,
2IFCnew,17,0,17,0,-1,0,No,8.2,-1,No Answer,-1,False,True,stimulus_2IFCnew_2019_Jun_12_1258_35,stimulus_2IFCnew_2019_Jun_12_1258_36,True,2019_Jun_12_1258,2IFCnew,,,
