Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,11.1,-1,Correct Rejection,0.433667899808,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_1,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,1,0,1,0,11.1,-1,Correct Rejection,0.535210900009,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_2,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,2,0,2,0,11.1,-1,Correct Rejection,0.567619199865,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_3,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,3,0,3,0,11.1,-1,Hit,0.566981799901,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_4,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,4,0,4,0,11.1,-1,Hit,0.434200400021,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_5,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,5,0,5,0,11.1,-1,Hit,0.46739330003,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_6,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,6,0,6,0,11.1,-1,False Alarm,0.600845800014,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_7,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,7,0,7,0,11.1,-1,Correct Rejection,0.700988600031,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_8,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,8,0,8,0,11.1,-1,Hit,0.568379200064,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_9,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,9,0,9,0,11.1,-1,Correct Rejection,0.568280600011,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_10,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,10,0,10,0,11.1,-1,Correct Rejection,0.534504899988,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_11,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,11,0,11,0,11.1,-1,False Alarm,0.69967449992,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_12,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,12,0,12,0,11.1,-1,Hit,0.567142500076,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_13,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,13,0,13,0,11.1,-1,Hit,0.501309100073,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_14,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,14,0,14,0,11.1,-1,Correct Rejection,0.599379800027,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_15,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,15,0,15,0,11.1,-1,Correct Rejection,0.533901599934,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_16,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,16,0,16,0,11.1,-1,False Alarm,0.702266500099,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_17,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,17,0,17,0,11.1,-1,Correct Rejection,0.534093399998,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_18,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,18,0,18,0,11.1,-1,Hit,0.601562600117,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_19,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,19,0,19,0,11.1,-1,Hit,0.532422999851,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_20,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,20,0,20,0,11.1,-1,Correct Rejection,0.533806600142,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_21,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,21,0,21,0,11.1,-1,Hit,0.500351499999,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_22,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,22,0,22,0,11.1,-1,Correct Rejection,0.668023300124,False,-1,stimulus__Yes-No Task_2019_Jul_03_1342_23,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,23,0,23,0,11.1,-1,Hit,0.500031400006,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_24,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,24,0,24,0,11.1,-1,Hit,0.468183199875,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_25,-1,False,2019_Jul_03_1342,Yes-No Task,,,
Yes-No Task,25,0,25,0,11.1,-1,Hit,0.468031299999,True,-1,stimulus__Yes-No Task_2019_Jul_03_1342_26,-1,False,2019_Jul_03_1342,Yes-No Task,,,
