Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,8.6,-1,Correct Rejection,0.5342542,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_1,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,1,0,1,0,2.9,-1,Correct Rejection,0.501286499988,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_2,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,2,0,2,0,7.6,-1,Miss,0.534506399999,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_3,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,3,0,3,0,7.6,-1,Correct Rejection,0.59907170001,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_4,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,4,0,4,0,9.6,-1,Correct Rejection,0.636687699996,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_5,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,5,0,5,0,2.9,-1,Hit,0.567016299989,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_6,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,6,0,6,0,4.5,-1,Hit,0.767413199996,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_7,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,7,0,7,0,7.6,-1,Hit,0.634093900007,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_8,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,8,0,8,0,7.6,-1,Hit,0.567212199996,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_9,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,9,0,9,0,4.5,-1,False Alarm,0.700819999998,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_10,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,10,0,10,0,4.5,-1,Correct Rejection,0.834060900001,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_11,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,11,0,11,0,7.6,-1,False Alarm,0.633795000002,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_12,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,12,0,12,0,7.6,-1,Hit,0.700867300009,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_13,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,13,0,13,0,5.7,-1,Hit,0.668060600001,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_14,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,14,0,14,0,7.6,-1,Hit,0.634113000007,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_15,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,15,0,15,0,4.5,-1,False Alarm,0.6351975,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_16,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,16,0,16,0,9.6,-1,Hit,0.567381200002,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_17,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,17,0,17,0,2.9,-1,Miss,0.701162099984,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_18,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,18,0,18,0,4.5,-1,Hit,0.601129100018,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_19,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,19,0,19,0,10.7,-1,False Alarm,0.633946000016,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_20,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,20,0,20,0,7.6,-1,Hit,0.635322599992,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_21,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,21,0,21,0,9.6,-1,Correct Rejection,0.734972700011,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_22,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,22,0,22,0,2.9,-1,Hit,0.633606699994,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_23,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,23,0,23,0,7.6,-1,Correct Rejection,0.73402589999,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_24,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,24,0,24,0,7.6,-1,Hit,0.600673799985,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_25,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,25,0,25,0,10.7,-1,False Alarm,0.767937199998,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_26,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,26,0,26,0,8.6,-1,Hit,0.567299899994,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_27,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,27,0,27,0,6.7,-1,Correct Rejection,0.567225700011,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_28,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,28,0,28,0,4.5,-1,False Alarm,0.800941599999,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_29,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,29,0,29,0,10.7,-1,Hit,0.567524100014,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_30,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,30,0,30,0,2.9,-1,Correct Rejection,0.6671431,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_31,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,31,0,31,0,5.7,-1,Hit,0.569586199999,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_32,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,32,0,32,0,8.6,-1,False Alarm,0.669553000014,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_33,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,33,0,33,0,9.6,-1,Hit,0.53356890002,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_34,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,34,0,34,0,2.9,-1,Miss,0.567126899987,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_35,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,35,0,35,0,6.7,-1,False Alarm,0.534046199988,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_36,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,36,0,36,0,7.6,-1,Hit,0.600105399993,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_37,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,37,0,37,0,8.6,-1,Hit,0.634355699993,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_38,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,38,0,38,0,8.6,-1,No Answer,-1,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_39,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,39,0,39,0,9.6,-1,No Answer,-1,False,-1,stimulus__Yes-No Task_2019_Jun_17_1421_40,-1,True,2019_Jun_17_1421,Yes-No Task,,,
Yes-No Task,40,0,40,0,2.9,-1,No Answer,-1,True,-1,stimulus__Yes-No Task_2019_Jun_17_1421_41,-1,True,2019_Jun_17_1421,Yes-No Task,,,
