Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,11.1,-1,Correct Rejection,0.40008609998,False,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_1,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,1,0,1,0,11.1,-1,Correct Rejection,0.501055600122,False,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_2,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,2,0,2,0,11.1,-1,False Alarm,0.634057200048,False,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_3,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,3,0,3,0,11.1,-1,Hit,0.567782300059,True,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_4,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,4,0,4,0,11.1,-1,Hit,0.43402549997,True,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_5,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,5,0,5,0,11.1,-1,False Alarm,0.567416099831,False,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_6,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,6,0,6,0,11.1,-1,Hit,0.433412499959,True,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_7,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,7,0,7,0,11.1,-1,Hit,0.467140299967,True,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_8,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,8,0,8,0,11.1,-1,Hit,0.400992499897,True,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_9,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
Yes-No Task,9,0,9,0,11.1,-1,Hit,0.367703499971,True,-1,stimulus_HACA03_Yes-No Task_2019_Jul_03_1344_10,-1,False,2019_Jul_03_1344,Yes-No Task,3,HACA03,
