Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,0,0,0,0,5.3,-1,Correct Rejection,0.351324099989,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_6,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,1,0,1,0,5.3,-1,Correct Rejection,0.232460099971,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_7,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,2,0,2,0,5.3,-1,Miss,0.450655799999,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_8,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,3,0,3,0,5.3,-1,Miss,0.301114200032,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_9,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,4,0,4,0,5.3,-1,Correct Rejection,0.384427499957,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_10,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,5,0,5,0,5.3,-1,Correct Rejection,0.850290599978,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_11,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,6,0,6,0,5.3,-1,Hit,1.01687300002,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_12,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,7,0,7,0,5.3,-1,Miss,0.334695100028,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_13,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,8,0,8,0,5.3,-1,Correct Rejection,0.633876300009,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_14,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,9,0,9,0,5.3,-1,Hit,0.65084409999,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_15,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,10,0,10,0,5.3,-1,Miss,0.782697899966,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_16,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,11,0,11,0,5.3,-1,Miss,0.685346100014,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_17,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,12,0,12,0,5.3,-1,Correct Rejection,0.816111800028,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_18,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,13,0,13,0,5.3,-1,False Alarm,0.668424499978,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_19,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,14,0,14,0,5.3,-1,Correct Rejection,0.317564300029,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_20,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,15,0,15,0,5.3,-1,False Alarm,1.18538169999,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_21,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,16,0,16,0,5.3,-1,Correct Rejection,0.467544600018,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_22,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,17,0,17,0,5.3,-1,Correct Rejection,0.349405399989,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_23,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,18,0,18,0,5.3,-1,Miss,0.450586500054,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_24,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,19,0,19,0,5.3,-1,Miss,0.400324699993,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_25,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,20,0,20,0,5.3,-1,Hit,0.416166100011,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_26,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,21,0,21,0,5.3,-1,Correct Rejection,0.484422900015,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_27,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,22,0,22,0,5.3,-1,Hit,0.836054100015,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_28,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,23,0,23,0,5.3,-1,Hit,0.433678700007,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_29,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,24,0,24,0,5.3,-1,Hit,0.451813800028,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_30,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,25,0,25,0,5.3,-1,Correct Rejection,0.317894400039,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_31,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,26,0,26,0,5.3,-1,Hit,0.536064600048,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_32,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,27,0,27,0,5.3,-1,Miss,0.335424199991,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_33,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,28,0,28,0,5.3,-1,Correct Rejection,0.398484100006,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_34,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,29,0,29,0,5.3,-1,Miss,0.368237699964,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_35,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,30,0,30,0,5.3,-1,Hit,0.451428500004,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_36,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,31,0,31,0,5.3,-1,Hit,0.535561500001,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_37,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,32,0,32,0,5.3,-1,Correct Rejection,0.570412700006,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_38,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,33,0,33,0,5.3,-1,False Alarm,0.635416099976,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_39,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,34,0,34,0,5.3,-1,Correct Rejection,0.515996399976,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_40,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,35,0,35,0,5.3,-1,Correct Rejection,0.450202599983,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_41,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,36,0,36,0,5.3,-1,Correct Rejection,0.484760399966,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_42,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,37,0,37,0,5.3,-1,False Alarm,0.752576600004,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_43,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,38,0,38,0,5.3,-1,Hit,0.418482800014,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_44,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,39,0,39,0,5.3,-1,Correct Rejection,0.384507699986,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_45,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,40,0,40,0,5.3,-1,Correct Rejection,0.298765399959,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_46,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,41,0,41,0,5.3,-1,Hit,0.504184000019,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_47,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,42,0,42,0,5.3,-1,Miss,0.284009499999,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_48,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,43,0,43,0,5.3,-1,Correct Rejection,0.35102079995,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_49,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,44,0,44,0,5.3,-1,Hit,0.467798300029,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_50,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,45,0,45,0,5.3,-1,Correct Rejection,0.336124599969,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_51,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,46,0,46,0,5.3,-1,Hit,0.500163699966,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_52,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,47,0,47,0,5.3,-1,Hit,0.352104399994,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_53,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,48,0,48,0,5.3,-1,Correct Rejection,0.351945500006,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_54,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,49,0,49,0,5.3,-1,Hit,0.584908399964,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_55,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,50,0,50,0,5.3,-1,Miss,0.452680100047,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_56,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,51,0,51,0,5.3,-1,Correct Rejection,0.383234599954,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_57,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
