Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,4.4,-1,correct answer,0.704621583223,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_1,stimulusHACA03_2IFC_2019_Jun_28_1438_2,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,1,0,1,0,4.4,-1,correct answer,0.532959843753,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_3,stimulusHACA03_2IFC_2019_Jun_28_1438_4,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,2,0,2,0,7.8,-1,correct answer,0.568516200408,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_5,stimulusHACA03_2IFC_2019_Jun_28_1438_6,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,3,0,3,0,8.8,-1,correct answer,0.463973360369,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_7,stimulusHACA03_2IFC_2019_Jun_28_1438_8,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,4,0,4,0,4.4,-1,wrong answer,0.636109282961,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_9,stimulusHACA03_2IFC_2019_Jun_28_1438_10,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,5,0,5,0,11.1,-1,correct answer,0.431623796467,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_11,stimulusHACA03_2IFC_2019_Jun_28_1438_12,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,6,0,6,0,11.1,-1,correct answer,0.501858757576,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_13,stimulusHACA03_2IFC_2019_Jun_28_1438_14,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,7,0,7,0,5.7,-1,correct answer,0.50056635146,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_15,stimulusHACA03_2IFC_2019_Jun_28_1438_16,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,8,0,8,0,11.1,-1,correct answer,0.600620666984,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_17,stimulusHACA03_2IFC_2019_Jun_28_1438_18,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,9,0,9,0,4.4,-1,correct answer,0.501205985667,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_19,stimulusHACA03_2IFC_2019_Jun_28_1438_20,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,10,0,10,0,5.7,-1,correct answer,0.500709632877,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_21,stimulusHACA03_2IFC_2019_Jun_28_1438_22,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,11,0,11,0,7.8,-1,correct answer,0.567494345596,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_23,stimulusHACA03_2IFC_2019_Jun_28_1438_24,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,12,0,12,0,4.4,-1,correct answer,0.767189144157,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_25,stimulusHACA03_2IFC_2019_Jun_28_1438_26,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,13,0,13,0,6.7,-1,correct answer,0.439125745557,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_27,stimulusHACA03_2IFC_2019_Jun_28_1438_28,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,14,0,14,0,5.7,-1,correct answer,0.535945761483,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_29,stimulusHACA03_2IFC_2019_Jun_28_1438_30,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,15,0,15,0,2.7,-1,correct answer,0.666406105272,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_31,stimulusHACA03_2IFC_2019_Jun_28_1438_32,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,16,0,16,0,8.8,-1,correct answer,0.472016822547,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_33,stimulusHACA03_2IFC_2019_Jun_28_1438_34,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,17,0,17,0,9.8,-1,correct answer,0.467915855581,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_35,stimulusHACA03_2IFC_2019_Jun_28_1438_36,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,18,0,18,0,4.4,-1,correct answer,0.634604623541,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_37,stimulusHACA03_2IFC_2019_Jun_28_1438_38,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,19,0,19,0,8.8,-1,correct answer,0.467431408586,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_39,stimulusHACA03_2IFC_2019_Jun_28_1438_40,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,20,0,20,0,6.7,-1,correct answer,0.430499304784,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_41,stimulusHACA03_2IFC_2019_Jun_28_1438_42,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,21,0,21,0,8.8,-1,correct answer,0.400104772067,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_43,stimulusHACA03_2IFC_2019_Jun_28_1438_44,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,22,0,22,0,6.7,-1,wrong answer,0.534386499319,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_45,stimulusHACA03_2IFC_2019_Jun_28_1438_46,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,23,0,23,0,4.4,-1,correct answer,0.534144275822,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_47,stimulusHACA03_2IFC_2019_Jun_28_1438_48,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,24,0,24,0,7.8,-1,correct answer,0.367530227639,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_49,stimulusHACA03_2IFC_2019_Jun_28_1438_50,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,25,0,25,0,5.7,-1,correct answer,0.466467851773,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_51,stimulusHACA03_2IFC_2019_Jun_28_1438_52,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,26,0,26,0,8.8,-1,correct answer,0.468027935363,False,True,stimulusHACA03_2IFC_2019_Jun_28_1438_53,stimulusHACA03_2IFC_2019_Jun_28_1438_54,True,2019_Jun_28_1438,2IFC,,HACA03,
2IFC,27,0,27,0,6.7,-1,correct answer,0.468471327564,True,False,stimulusHACA03_2IFC_2019_Jun_28_1438_55,stimulusHACA03_2IFC_2019_Jun_28_1438_56,True,2019_Jun_28_1438,2IFC,,HACA03,
