Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFCnew,0,0,0,0,0.667359809158,4,Yes,6.7,-1,Miss,0.700173703022,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_1,stimulusHACA03_2IFCnew_2019_Jun_28_1519_2,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,1,0,1,0,0.533326874021,2,No,6.7,-1,False Alarm,0.700925827492,False,True,stimulusHACA03_2IFCnew_2019_Jun_28_1519_3,stimulusHACA03_2IFCnew_2019_Jun_28_1519_4,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,2,0,2,0,0.500508463942,1,No,2.7,-1,Hit,0.599622213515,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_5,stimulusHACA03_2IFCnew_2019_Jun_28_1519_6,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,3,0,3,0,0.501515128417,1,No,6.7,-1,Hit,0.599955989048,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_7,stimulusHACA03_2IFCnew_2019_Jun_28_1519_8,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,4,0,4,0,-1,0,No,6.7,-1,No Answer,-1,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_9,stimulusHACA03_2IFCnew_2019_Jun_28_1519_10,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,5,0,5,0,0.501126749674,4,Yes,9.8,-1,Miss,0.600832509808,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_11,stimulusHACA03_2IFCnew_2019_Jun_28_1519_12,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,6,0,6,0,0.600628877757,5,Yes,6.7,-1,False Alarm,0.50142070232,False,True,stimulusHACA03_2IFCnew_2019_Jun_28_1519_13,stimulusHACA03_2IFCnew_2019_Jun_28_1519_14,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,7,0,7,0,0.400310456753,1,No,11.1,-1,Hit,0.701902521774,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_15,stimulusHACA03_2IFCnew_2019_Jun_28_1519_16,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,8,0,8,0,0.567349011544,3,Yes,7.8,-1,Correct Rejection,0.733028651681,False,True,stimulusHACA03_2IFCnew_2019_Jun_28_1519_17,stimulusHACA03_2IFCnew_2019_Jun_28_1519_18,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,9,0,9,0,-1,1,Yes,7.8,-1,Hit,0.567312883213,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_19,stimulusHACA03_2IFCnew_2019_Jun_28_1519_20,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,10,0,10,0,-1,1,Yes,11.1,-1,Hit,0.467148541007,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_21,stimulusHACA03_2IFCnew_2019_Jun_28_1519_22,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,11,0,11,0,-1,1,Yes,9.8,-1,Hit,0.458735995693,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_23,stimulusHACA03_2IFCnew_2019_Jun_28_1519_24,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,12,0,12,0,-1,1,Yes,11.1,-1,Hit,0.467572226655,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_25,stimulusHACA03_2IFCnew_2019_Jun_28_1519_26,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,13,0,13,0,-1,0,Yes,6.7,-1,No Answer,-1,False,True,stimulusHACA03_2IFCnew_2019_Jun_28_1519_27,stimulusHACA03_2IFCnew_2019_Jun_28_1519_28,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,14,0,14,0,0.501152614364,1,No,8.8,-1,Hit,0.504955112701,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_29,stimulusHACA03_2IFCnew_2019_Jun_28_1519_30,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,15,0,15,0,0.533985393587,3,Yes,7.8,-1,Correct Rejection,0.833906116663,False,True,stimulusHACA03_2IFCnew_2019_Jun_28_1519_31,stimulusHACA03_2IFCnew_2019_Jun_28_1519_32,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
2IFCnew,16,0,16,0,0.501688790275,1,No,2.7,-1,Hit,0.801502360497,True,False,stimulusHACA03_2IFCnew_2019_Jun_28_1519_33,stimulusHACA03_2IFCnew_2019_Jun_28_1519_34,True,2019_Jun_28_1519,2IFCnew,3,HACA03,
