Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,8.8,-1,Miss,0.300981990295,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_1,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,1,0,1,0,7.8,-1,False Alarm,0.399015587289,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_2,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,2,0,2,0,9.8,-1,Hit,0.4346630855,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_3,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,3,0,3,0,9.8,-1,Hit,0.469141342444,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_4,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,4,0,4,0,9.8,-1,Hit,0.502114939503,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_5,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,5,0,5,0,9.8,-1,False Alarm,0.502938088961,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_6,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,6,0,6,0,4.4,-1,Hit,0.33176818653,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_7,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,7,0,7,0,4.4,-1,False Alarm,0.500478083501,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_8,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,8,0,8,0,4.4,-1,False Alarm,0.532215109095,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_9,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,9,0,9,0,6.7,-1,Correct Rejection,0.430550212506,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_10,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,10,0,10,0,5.7,-1,Hit,0.500973615097,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_11,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,11,0,11,0,11.1,-1,Hit,0.433664221549,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_12,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,12,0,12,0,7.8,-1,Miss,0.43368433835,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_13,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,13,0,13,0,6.7,-1,Hit,0.402393578552,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_14,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,14,0,14,0,5.7,-1,Hit,0.430801468203,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_15,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,15,0,15,0,5.7,-1,Hit,0.433763984824,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_16,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,16,0,16,0,7.8,-1,Hit,0.400163480313,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_17,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,17,0,17,0,9.8,-1,Hit,0.404075184604,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_18,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,18,0,18,0,4.4,-1,False Alarm,0.367333164439,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_19,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,19,0,19,0,11.1,-1,Hit,0.401326974155,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_20,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,20,0,20,0,4.4,-1,Hit,0.399649884319,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_21,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,21,0,21,0,4.4,-1,Hit,0.466055250727,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_22,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,22,0,22,0,7.8,-1,Hit,0.50232678256,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_23,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,23,0,23,0,9.8,-1,Hit,0.436336480547,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_24,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,24,0,24,0,5.7,-1,Correct Rejection,0.567228720989,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_25,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,25,0,25,0,5.7,-1,Miss,0.534036301542,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_26,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,26,0,26,0,6.7,-1,Correct Rejection,0.500591805438,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_27,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,27,0,27,0,8.8,-1,False Alarm,0.499714053003,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_28,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,28,0,28,0,6.7,-1,False Alarm,0.535944119561,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_29,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,29,0,29,0,2.7,-1,Miss,0.43399922899,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_30,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,30,0,30,0,8.8,-1,False Alarm,0.636556370184,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_31,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,31,0,31,0,11.1,-1,False Alarm,0.468426988227,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_32,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,32,0,32,0,2.7,-1,Hit,0.434638042236,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_33,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,33,0,33,0,6.7,-1,False Alarm,0.466431723675,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_34,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,34,0,34,0,7.8,-1,Correct Rejection,0.665220852243,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_35,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,35,0,35,0,5.7,-1,Hit,0.465389341582,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_36,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,36,0,36,0,4.4,-1,Hit,0.468004123541,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_37,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,37,0,37,0,4.4,-1,False Alarm,0.500515853986,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_38,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,38,0,38,0,5.7,-1,Hit,0.468031630153,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_39,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
Yes-No Task,39,0,39,0,7.8,-1,Hit,0.401946491795,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1418_40,-1,True,2019_Jun_28_1418,Yes-No Task,3,HACA03,
