Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
2IFC,0,0,0,0,11.1,-1,correct answer,0.400811800035,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_1,stimulusHACA03_2IFC_2019_Jul_03_1402_2,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,1,0,1,0,11.1,-1,correct answer,0.401012799935,False,True,stimulusHACA03_2IFC_2019_Jul_03_1402_3,stimulusHACA03_2IFC_2019_Jul_03_1402_4,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,2,0,2,0,11.1,-1,correct answer,0.300185299944,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_5,stimulusHACA03_2IFC_2019_Jul_03_1402_6,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,3,0,3,0,11.1,-1,correct answer,0.267370500136,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_7,stimulusHACA03_2IFC_2019_Jul_03_1402_8,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,4,0,4,0,11.1,-1,correct answer,0.266863000114,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_9,stimulusHACA03_2IFC_2019_Jul_03_1402_10,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,5,0,5,0,11.1,-1,correct answer,0.400810800027,False,True,stimulusHACA03_2IFC_2019_Jul_03_1402_11,stimulusHACA03_2IFC_2019_Jul_03_1402_12,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,6,0,6,0,11.1,-1,correct answer,0.233823500108,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_13,stimulusHACA03_2IFC_2019_Jul_03_1402_14,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,7,0,7,0,11.1,-1,correct answer,0.234163300134,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_15,stimulusHACA03_2IFC_2019_Jul_03_1402_16,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,8,0,8,0,11.1,-1,correct answer,0.268044000026,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_17,stimulusHACA03_2IFC_2019_Jul_03_1402_18,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,9,0,9,0,11.1,-1,correct answer,0.200332500041,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_19,stimulusHACA03_2IFC_2019_Jul_03_1402_20,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,10,0,10,0,11.1,-1,correct answer,0.433927400038,False,True,stimulusHACA03_2IFC_2019_Jul_03_1402_21,stimulusHACA03_2IFC_2019_Jul_03_1402_22,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,11,0,11,0,11.1,-1,correct answer,0.23402470001,True,False,stimulusHACA03_2IFC_2019_Jul_03_1402_23,stimulusHACA03_2IFC_2019_Jul_03_1402_24,False,2019_Jul_03_1402,2IFC,3,HACA03,
2IFC,12,0,12,0,11.1,-1,correct answer,0.500502600102,False,True,stimulusHACA03_2IFC_2019_Jul_03_1402_25,stimulusHACA03_2IFC_2019_Jul_03_1402_26,False,2019_Jul_03_1402,2IFC,3,HACA03,
