Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,9,-1,Hit,0.367232580204,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_1,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,1,0,1,0,9,-1,Hit,0.500916138524,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_2,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,2,0,2,0,9,-1,Hit,0.401599167613,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_3,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,3,0,3,0,9,-1,False Alarm,0.369674931979,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_4,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,4,0,4,0,9,-1,Hit,0.501095958753,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_5,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,5,0,5,0,9,-1,Hit,0.467040977441,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_6,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,6,0,6,0,9,-1,Correct Rejection,0.402357860934,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_7,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,7,0,7,0,9,-1,Miss,0.430305115413,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_8,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,8,0,8,0,9,-1,False Alarm,0.70090242615,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_9,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
Yes-No Task,9,0,9,0,9,-1,Hit,0.63461776101,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1404_10,-1,False,2019_Jun_28_1404,Yes-No Task,1,HACA03,
