Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,2,-1,Miss,0.367067539832,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_1,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,1,0,1,0,2,-1,Correct Rejection,0.433592375601,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_2,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,2,0,2,0,2,-1,Correct Rejection,0.499583088327,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_3,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,3,0,3,0,2,-1,Miss,0.501511844108,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_4,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,4,0,4,0,2,-1,Miss,0.633720712969,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_5,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,5,0,5,0,2,-1,False Alarm,0.600852216128,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_6,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,6,0,6,0,2,-1,Miss,0.502303381218,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_7,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,7,0,7,0,2,-1,Correct Rejection,0.535294221481,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_8,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,8,0,8,0,2,-1,Miss,0.52582779876,True,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_9,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
Yes-No Task,9,0,9,0,2,-1,Correct Rejection,0.567187665962,False,-1,stimulus_HACA03_Yes-No Task_2019_Jun_28_1409_10,-1,False,2019_Jun_28_1409,Yes-No Task,,HACA03,
