Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,5,-1,Miss,0.367902033031,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_1,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,1,0,1,0,5,-1,Correct Rejection,0.434972870629,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_2,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,2,0,2,0,5,-1,Hit,0.534181005787,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_3,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,3,0,3,0,5,-1,Correct Rejection,0.534937645774,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_4,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,4,0,4,0,5,-1,Hit,0.534027460963,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_5,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,5,0,5,0,5,-1,Hit,0.501248066314,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_6,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,6,0,6,0,5,-1,Correct Rejection,0.700354056899,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_7,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,7,0,7,0,5,-1,False Alarm,0.601175892167,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_8,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,8,0,8,0,5,-1,Hit,0.466049311683,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_9,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,9,0,9,0,5,-1,Correct Rejection,0.857857562602,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_10,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,10,0,10,0,5,-1,Hit,0.566126166377,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_11,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,11,0,11,0,5,-1,Correct Rejection,0.801142390817,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_12,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,12,0,12,0,5,-1,Correct Rejection,0.533249061555,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_13,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,13,0,13,0,5,-1,False Alarm,0.800540117081,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_14,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,14,0,14,0,5,-1,False Alarm,0.533999953885,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_15,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,15,0,15,0,5,-1,Hit,0.499193683267,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_16,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,16,0,16,0,5,-1,Hit,0.500109205954,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_17,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,17,0,17,0,5,-1,Correct Rejection,0.637028239202,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_18,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,18,0,18,0,5,-1,No Answer,-1,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_19,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,19,0,19,0,5,-1,False Alarm,0.734957105946,False,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_20,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,20,0,20,0,5,-1,Hit,0.466611762531,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_21,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
Yes-No Task,21,0,21,0,5,-1,Hit,0.534744278062,True,-1,stimulus_JÖSU26_Yes-No Task_2019_Jun_12_0822_22,-1,False,2019_Jun_12_0822,Yes-No Task,1,JÖSU26,
