Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,7,-1,Miss,0.434744700091,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_1,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,1,0,1,0,7,-1,False Alarm,0.600273400079,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_2,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,2,0,2,0,7,-1,Miss,0.367221999913,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_3,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,3,0,3,0,7,-1,Correct Rejection,0.567346600117,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_4,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,4,0,4,0,7,-1,Miss,0.467310200213,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_5,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,5,0,5,0,7,-1,Correct Rejection,0.568170999875,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_6,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,6,0,6,0,7,-1,Correct Rejection,0.600555900019,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_7,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,7,0,7,0,7,-1,Correct Rejection,0.566971000051,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_8,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,8,0,8,0,7,-1,Correct Rejection,0.600449200021,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_9,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,9,0,9,0,7,-1,False Alarm,0.600543600041,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_10,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,10,0,10,0,7,-1,Correct Rejection,0.701429500012,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_11,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,11,0,11,0,7,-1,Hit,0.602226499934,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_12,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,12,0,12,0,7,-1,Correct Rejection,0.699965799926,False,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_13,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
Yes-No Task,13,0,13,0,7,-1,Hit,0.567204700084,True,-1,stimulus_KLRU16_Yes-No Task_2019_Jun_13_1419_14,-1,False,2019_Jun_13_1419,Yes-No Task,1,KLRU16,
