Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,14,-1,Correct Rejection,0.467198099999,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_1,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,1,0,1,0,14,-1,Correct Rejection,0.433453800011,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_2,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,2,0,2,0,14,-1,Correct Rejection,0.400453400012,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_3,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,3,0,3,0,14,-1,Hit,0.334999700019,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_4,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,4,0,4,0,14,-1,Correct Rejection,0.400210499996,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_5,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,5,0,5,0,14,-1,Hit,0.400645599992,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_6,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,6,0,6,0,14,-1,Correct Rejection,0.400911200006,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_7,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,7,0,7,0,14,-1,Miss,0.40065549998,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_8,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,8,0,8,0,14,-1,Hit,0.433636499976,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_9,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,9,0,9,0,14,-1,Hit,0.434626300004,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_10,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,10,0,10,0,14,-1,Correct Rejection,0.433936899994,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_11,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,11,0,11,0,14,-1,Hit,0.400829399994,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_12,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,12,0,12,0,14,-1,Correct Rejection,0.435368700011,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_13,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,13,0,13,0,14,-1,Hit,0.36695299999,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_14,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,14,0,14,0,14,-1,False Alarm,0.434002299997,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_15,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,15,0,15,0,14,-1,Hit,0.5006268,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_16,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,16,0,16,0,14,-1,Hit,0.434033400001,True,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_17,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
Yes-No Task,17,0,17,0,14,-1,Correct Rejection,0.46647710001,False,-1,stimulus_MIJA04_Yes-No Task_2019_Jun_17_1214_18,-1,False,2019_Jun_17_1214,Yes-No Task,1,MIJA04,
