Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,8,-1,Correct Rejection,0.467040100018,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_1,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,1,0,1,0,8,-1,Correct Rejection,0.467060499999,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_2,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,2,0,2,0,8,-1,Hit,0.499478200014,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_3,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,3,0,3,0,8,-1,Hit,0.434178800002,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_4,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,4,0,4,0,8,-1,Hit,0.433243000007,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_5,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,5,0,5,0,8,-1,Hit,0.501883899997,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_6,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,6,0,6,0,8,-1,Hit,0.434623800014,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_7,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,7,0,7,0,8,-1,Correct Rejection,0.433674400003,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_8,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,8,0,8,0,8,-1,Hit,0.50065240002,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_9,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,9,0,9,0,8,-1,False Alarm,0.533756299992,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_10,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,10,0,10,0,8,-1,Hit,0.434900699998,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_11,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,11,0,11,0,8,-1,Hit,0.467117599997,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_12,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,12,0,12,0,8,-1,Hit,0.466200500028,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_13,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,13,0,13,0,8,-1,Hit,0.434661800013,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_14,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,14,0,14,0,8,-1,Hit,0.435441500013,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_15,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,15,0,15,0,8,-1,False Alarm,0.433612099994,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_16,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,16,0,16,0,8,-1,Hit,0.534585999994,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_17,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,17,0,17,0,8,-1,False Alarm,0.43396330002,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_18,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,18,0,18,0,8,-1,Correct Rejection,0.602144700009,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_19,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,19,0,19,0,8,-1,Correct Rejection,0.466968499997,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_20,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,20,0,20,0,8,-1,Correct Rejection,0.532933399983,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_21,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,21,0,21,0,8,-1,Correct Rejection,0.499060200003,False,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_22,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,22,0,22,0,8,-1,Hit,0.500677100004,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_23,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
Yes-No Task,23,0,23,0,8,-1,Hit,0.435486200004,True,-1,stimulus_MIPA23_Yes-No Task_2019_Jun_17_1414_24,-1,False,2019_Jun_17_1414,Yes-No Task,1,MIPA23,
