Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,0,0,0,0,2.0,-1,Correct Rejection,0.369086464401,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_1,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,1,0,1,0,2.0,-1,Correct Rejection,0.332631022204,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_2,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,2,0,2,0,2.0,-1,Correct Rejection,0.400061500259,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_3,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,3,0,3,0,2.0,-1,Miss,0.367980448063,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_4,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,4,0,4,0,2.0,-1,Hit,0.399260520935,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_5,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,5,0,5,0,2.0,-1,Miss,0.33442840213,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_6,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,6,0,6,0,2.0,-1,Hit,0.268776829354,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_7,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,7,0,7,0,2.0,-1,Hit,0.467517432291,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_8,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,8,0,8,0,2.0,-1,Correct Rejection,0.493633219507,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_9,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,9,0,9,0,2.0,-1,Hit,0.533143961336,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_10,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,10,0,10,0,2.0,-1,Correct Rejection,0.468014195096,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_11,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,11,0,11,0,2.0,-1,Hit,0.333359334618,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_12,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,12,0,12,0,2.0,-1,Correct Rejection,0.60604376113,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_13,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,13,0,13,0,2.0,-1,Miss,0.534136666451,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_14,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,14,0,14,0,2.0,-1,Hit,0.271269677673,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_15,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,15,0,15,0,2.0,-1,False Alarm,0.500786610413,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_16,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,16,0,16,0,2.0,-1,Hit,0.433098308276,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_17,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,17,0,17,0,2.0,-1,Correct Rejection,0.299928810913,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_18,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,18,0,18,0,2.0,-1,Correct Rejection,0.433728910051,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_19,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,19,0,19,0,2.0,-1,Miss,0.332011094783,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_20,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,20,0,20,0,2.0,-1,False Alarm,0.333358102944,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_21,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,21,0,21,0,2.0,-1,False Alarm,0.272770230658,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_22,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,22,0,22,0,2.0,-1,Miss,0.46646273369,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_23,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,23,0,23,0,2.0,-1,Hit,0.269097877666,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_24,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,24,0,24,0,2.0,-1,False Alarm,0.401018898468,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_25,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,25,0,25,0,2.0,-1,Correct Rejection,0.269011252094,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_26,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,26,0,26,0,2.0,-1,Correct Rejection,0.466781729832,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_27,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,27,0,27,0,2.0,-1,Correct Rejection,0.405801784247,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_28,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,28,0,28,0,2.0,-1,Correct Rejection,0.367885611486,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_29,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,29,0,29,0,2.0,-1,Miss,0.33511689119,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_30,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,30,0,30,0,2.0,-1,Correct Rejection,0.233659773599,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_31,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,31,0,31,0,2.0,-1,Miss,0.372972302604,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_32,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,32,0,32,0,2.0,-1,Miss,0.365310653578,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_33,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,33,0,33,0,2.0,-1,False Alarm,0.233630214352,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_34,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,34,0,34,0,2.0,-1,Miss,0.302482831292,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_35,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,35,0,35,0,2.0,-1,Correct Rejection,0.302962761838,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_36,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,36,0,36,0,2.0,-1,Miss,0.202514360659,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_37,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,37,0,37,0,2.0,-1,False Alarm,0.368113465607,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_38,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,38,0,38,0,2.0,-1,Miss,0.233933609445,True,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_39,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
Yes-No Task,39,0,39,0,2.0,-1,Correct Rejection,0.267040210776,False,-1,stimulus_RAMA04_Yes-No Task_2019_Jun_11_1400_40,-1,2019_Jun_11_1400,Yes-No Task,,RAMA04,
