Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,0,0,0,0,3.0,-1,Miss,0.535621618852,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_1,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,1,0,1,0,3.0,-1,False Alarm,0.636120106559,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_2,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,2,0,2,0,3.0,-1,Correct Rejection,0.535339162219,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_3,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,3,0,3,0,3.0,-1,Correct Rejection,0.499778714962,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_4,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,4,0,4,0,3.0,-1,Correct Rejection,0.558197660837,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_5,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,5,0,5,0,3.0,-1,Miss,0.533075399231,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_6,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,6,0,6,0,3.0,-1,Correct Rejection,0.701357846614,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_7,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,7,0,7,0,3.0,-1,Correct Rejection,0.735204255674,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_8,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,8,0,8,0,3.0,-1,False Alarm,0.600512035657,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_9,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,9,0,9,0,3.0,-1,Miss,0.533663304523,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_10,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,10,0,10,0,3.0,-1,Correct Rejection,0.669364652131,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_11,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,11,0,11,0,3.0,-1,Miss,0.568169464357,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_12,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,12,0,12,0,3.0,-1,Hit,0.633797636256,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_13,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,13,0,13,0,3.0,-1,Correct Rejection,0.567194412462,False,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_14,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,14,0,14,0,3.0,-1,Hit,0.635671377648,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_15,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
Yes-No Task,15,0,15,0,3.0,-1,Miss,0.501267772634,True,-1,stimulus_RORE28_Yes-No Task_2019_Jun_11_1655_16,-1,2019_Jun_11_1655,Yes-No Task,1,RORE28,
